date,daily_avg_temp
2025-01-01,-0.69
2025-01-02,1.24
2025-01-03,-5.31
2025-01-04,2.01
2025-01-05,2.61
2025-01-06,4.4
2025-01-07,5.88
2025-01-08,2.09
2025-01-09,-0.72
2025-01-10,0.66
2025-01-11,0.55
2025-01-12,-0.44
2025-01-13,-2.17
2025-01-14,-1.52
2025-01-15,-1.41
2025-01-16,-0.74
2025-01-17,0.6
2025-01-18,2.14
2025-01-19,2.49
2025-01-20,0.39
2025-01-21,1.58
2025-01-22,3.34
2025-01-23,5.34
2025-01-24,4.14
2025-01-25,4.75
2025-01-26,7.65
2025-01-27,6.59
2025-01-28,6.61
2025-01-29,5.96
2025-01-30,5.99
2025-01-31,3.74
2025-02-01,2.82
2025-02-02,2.38
2025-02-03,-0.57
2025-02-04,-2.15
2025-02-05,-7.8
2025-02-06,-3.72
2025-02-07,0.29
2025-02-08,0.08
2025-02-09,1.64
2025-02-10,4.16
2025-02-11,9.0
2025-02-12,7.54
2025-02-13,7.39
2025-02-14,8.94
2025-02-15,8.64
2025-02-16,-2.44
2025-02-17,-5.68
2025-02-18,-1.75
2025-02-19,2.82
2025-02-20,5.71
2025-02-21,7.92
2025-02-22,-9.82
2025-02-23,4.2
2025-02-24,8.52
2025-02-25,6.3
2025-02-26,6.38
2025-02-27,7.15
2025-02-28,4.7
2025-02-29,7.52
2025-03-01,5.71
2025-03-02,4.25
2025-03-03,6.24
2025-03-04,1.44
2025-03-05,2.55
2025-03-06,5.26
2025-03-07,7.79
2025-03-08,10.54
2025-03-09,12.18
2025-03-10,5.38
2025-03-11,4.79
2025-03-12,8.31
2025-03-13,3.89
2025-03-14,6.08
2025-03-15,3.75
2025-03-16,5.59
2025-03-17,6.94
2025-03-18,12.59
2025-03-19,7.5
2025-03-20,10.75
2025-03-21,12.86
2025-03-22,11.31
2025-03-23,11.58
2025-03-24,12.15
2025-03-25,13.3
2025-03-26,15.7
2025-03-27,10.82
2025-03-28,7.69
2025-03-29,9.98
2025-03-30,10.9
2025-03-31,14.41
2025-04-01,10.16
2025-04-02,10.25
2025-04-03,11.57
2025-04-04,8.74
2025-04-05,8.52
2025-04-06,10.62
2025-04-07,11.34
2025-04-08,9.93
2025-04-09,10.46
2025-04-10,10.89
2025-04-11,10.07
2025-04-12,9.89
2025-04-13,12.98
2025-04-14,13.89
2025-04-15,14.86
2025-04-16,17.39
2025-04-17,11.2
2025-04-18,14.79
