date,daily_avg_temp
2025-01-01,0.26
2025-01-02,1.91
2025-01-03,1.35
2025-01-04,2.4
2025-01-05,3.51
2025-01-06,4.54
2025-01-07,6.16
2025-01-08,2.15
2025-01-09,-0.39
2025-01-10,1.08
2025-01-11,0.59
2025-01-12,-0.19
2025-01-13,-1.39
2025-01-14,-1.23
2025-01-15,-1.12
2025-01-16,-0.22
2025-01-17,0.79
2025-01-18,2.36
2025-01-19,2.98
2025-01-20,0.75
2025-01-21,1.94
2025-01-22,3.92
2025-01-23,4.64
2025-01-24,3.28
2025-01-25,4.44
2025-01-26,7.56
2025-01-27,6.51
2025-01-28,7.34
2025-01-29,6.8
2025-01-30,6.4
2025-01-31,4.0
2025-02-01,3.35
2025-02-02,2.4
2025-02-03,-0.25
2025-02-04,-1.85
2025-02-05,-7.7
2025-02-06,-3.38
2025-02-07,0.45
2025-02-08,0.08
2025-02-09,2.01
2025-02-10,5.12
2025-02-11,8.56
2025-02-12,6.92
2025-02-13,6.61
2025-02-14,9.01
2025-02-15,7.96
2025-02-16,-2.36
2025-02-17,-5.34
2025-02-18,-1.2
2025-02-19,3.3
2025-02-20,5.81
2025-02-21,8.24
2025-02-22,3.74
2025-02-23,4.61
2025-02-24,8.38
2025-02-25,6.81
2025-02-26,6.98
2025-02-27,7.35
2025-02-28,5.19
2025-02-29,8.06
2025-03-01,5.35
2025-03-02,4.4
2025-03-03,6.51
2025-03-04,1.54
2025-03-05,2.56
2025-03-06,5.52
2025-03-07,7.89
2025-03-08,10.18
2025-03-09,11.48
2025-03-10,5.36
2025-03-11,4.88
2025-03-12,8.7
2025-03-13,3.15
2025-03-14,6.28
2025-03-15,3.82
2025-03-16,5.49
2025-03-17,7.95
2025-03-18,13.34
2025-03-19,8.1
2025-03-20,10.9
2025-03-21,12.36
2025-03-22,11.01
2025-03-23,11.39
2025-03-24,12.25
2025-03-25,13.95
2025-03-26,15.21
2025-03-27,10.16
2025-03-28,7.59
2025-03-29,10.05
2025-03-30,10.7
2025-03-31,13.02
2025-04-01,10.58
2025-04-02,10.35
2025-04-03,10.98
2025-04-04,8.15
2025-04-05,8.48
2025-04-06,10.66
2025-04-07,11.25
2025-04-08,9.9
2025-04-09,9.95
2025-04-10,10.84
2025-04-11,10.0
2025-04-12,10.54
2025-04-13,13.58
2025-04-14,13.86
2025-04-15,14.19
2025-04-16,17.06
2025-04-17,12.02
2025-04-18,14.74
2025-04-19,12.15
2025-04-20,10.61
2025-04-21,7.78
2025-04-22,7.24
2025-04-23,9.52
2025-04-24,12.62
2025-04-25,13.56
2025-04-26,13.34
2025-04-27,13.66
2025-04-28,14.88
2025-04-29,16.51
2025-04-30,19.49
2025-05-01,21.05
2025-05-02,20.66
2025-05-03,21.66
2025-05-04,18.74
2025-05-05,16.12
2025-05-06,20.95
2025-05-07,21.4
2025-05-08,18.81
2025-05-09,14.84
2025-05-10,15.16
2025-05-11,16.72
2025-05-12,15.5
2025-05-13,18.2
2025-05-14,21.41
2025-05-15,15.76
2025-05-16,17.25
2025-05-17,20.15
2025-05-18,17.02
2025-05-19,13.59
2025-05-20,16.19
2025-05-21,18.97
2025-05-22,19.91
2025-05-23,21.16
2025-05-24,16.72
2025-05-25,16.7
2025-05-26,16.69
2025-05-27,18.94
2025-05-28,19.76
2025-05-29,22.31
2025-05-30,23.54
2025-05-31,21.09
2025-06-01,20.13
2025-06-02,20.1
2025-06-03,22.89
2025-06-04,21.71
2025-06-05,23.65
2025-06-06,24.74
2025-06-07,23.2
2025-06-08,25.51
2025-06-09,27.57
2025-06-10,25.83
2025-06-11,26.54
2025-06-12,25.24
2025-06-13,27.02
2025-06-14,23.26
2025-06-15,23.62
2025-06-16,25.16
2025-06-17,24.64
2025-06-18,24.06
2025-06-19,25.35
2025-06-20,24.94
2025-06-21,26.72
2025-06-22,29.19
2025-06-23,27.79
2025-06-24,21.58
2025-06-25,21.32
2025-06-26,23.09
2025-06-27,24.76
2025-06-28,25.28
2025-06-29,23.31
