date,daily_avg_temp
2025-01-01,-3.11
2025-01-02,-4.64
2025-01-03,-4.69
2025-01-04,-2.19
2025-01-05,-6.93
2025-01-06,-7.74
2025-01-07,-14.55
2025-01-08,-13.31
2025-01-09,-10.46
2025-01-10,-6.4
2025-01-11,-6.29
2025-01-12,-2.15
2025-01-13,2.59
2025-01-14,2.99
2025-01-15,2.5
2025-01-16,-5.48
2025-01-17,-2.88
2025-01-18,-5.54
2025-01-19,-4.9
2025-01-20,2.41
2025-01-21,5.18
2025-01-22,5.55
2025-01-23,7.11
2025-01-24,7.0
2025-01-25,8.4
2025-01-26,4.12
2025-01-27,2.9
2025-01-28,-5.68
2025-01-29,-6.26
2025-01-30,-0.41
2025-01-31,5.58
2025-02-01,1.86
2025-02-02,-5.32
2025-02-03,-1.54
2025-02-04,-2.35
2025-02-05,4.06
2025-02-06,7.32
2025-02-07,1.56
2025-02-08,-2.36
2025-02-09,1.6
2025-02-10,4.75
2025-02-11,5.08
2025-02-12,6.89
2025-02-13,9.04
2025-02-14,9.79
2025-02-15,-1.61
2025-02-16,-5.61
2025-02-17,-8.02
2025-02-18,-3.75
2025-02-19,5.66
2025-02-20,8.96
2025-02-21,11.99
2025-02-22,5.46
2025-02-23,0.77
2025-02-24,4.15
2025-02-25,4.49
2025-02-26,8.74
2025-02-27,9.51
2025-02-28,8.44
2025-03-01,2.41
2025-03-02,2.35
2025-03-03,5.51
2025-03-04,7.21
2025-03-05,10.4
2025-03-06,5.59
2025-03-07,6.52
2025-03-08,7.69
2025-03-09,7.34
2025-03-10,9.81
2025-03-11,12.16
2025-03-12,9.7
2025-03-13,10.09
2025-03-14,9.65
2025-03-15,11.52
2025-03-16,7.74
2025-03-17,10.44
2025-03-18,13.85
2025-03-19,15.61
2025-03-20,8.06
2025-03-21,5.6
2025-03-22,7.08
2025-03-23,10.54
2025-03-24,3.85
2025-03-25,11.85
2025-03-26,14.65
2025-03-27,11.58
2025-03-28,9.34
2025-03-29,9.98
2025-03-30,12.26
2025-03-31,16.31
2025-04-01,17.74
