date,daily_avg_temp
2025-01-01,-2.54
2025-01-02,-4.31
2025-01-03,-3.9
2025-01-04,-1.59
2025-01-05,-6.54
2025-01-06,-7.8
2025-01-07,-14.31
2025-01-08,-13.21
2025-01-09,-10.1
2025-01-10,-5.56
2025-01-11,-5.14
2025-01-12,-1.61
2025-01-13,2.92
2025-01-14,4.19
2025-01-15,2.75
2025-01-16,-5.36
2025-01-17,-2.78
2025-01-18,-5.05
2025-01-19,-3.86
2025-01-20,3.26
2025-01-21,5.3
2025-01-22,5.89
2025-01-23,7.69
2025-01-24,7.79
2025-01-25,8.84
2025-01-26,3.92
2025-01-27,2.94
2025-01-28,-5.26
2025-01-29,-5.55
2025-01-30,0.65
2025-01-31,7.06
2025-02-01,2.01
2025-02-02,-5.14
2025-02-03,-1.39
2025-02-04,-1.76
2025-02-05,4.36
2025-02-06,7.19
2025-02-07,1.58
2025-02-08,-2.11
2025-02-09,1.44
2025-02-10,4.91
2025-02-11,5.62
2025-02-12,6.66
2025-02-13,9.0
2025-02-14,9.55
2025-02-15,-1.74
2025-02-16,-5.58
2025-02-17,-7.51
2025-02-18,-3.31
2025-02-19,5.46
2025-02-20,8.64
2025-02-21,11.8
2025-02-22,5.14
2025-02-23,0.84
2025-02-24,3.98
2025-02-25,4.5
2025-02-26,9.74
2025-02-27,9.64
2025-02-28,8.62
2025-03-01,2.96
2025-03-02,3.16
2025-03-03,6.26
2025-03-04,7.95
2025-03-05,9.98
2025-03-06,6.21
2025-03-07,6.66
2025-03-08,7.42
2025-03-09,7.21
2025-03-10,9.93
2025-03-11,11.65
2025-03-12,9.89
2025-03-13,9.01
2025-03-14,9.41
2025-03-15,11.38
2025-03-16,7.82
2025-03-17,9.99
2025-03-18,13.47
2025-03-19,15.51
2025-03-20,7.76
2025-03-21,5.86
2025-03-22,7.45
2025-03-23,10.74
2025-03-24,4.31
2025-03-25,10.89
2025-03-26,14.73
2025-03-27,11.72
2025-03-28,9.09
2025-03-29,10.31
2025-03-30,12.36
2025-03-31,16.9
2025-04-01,18.51
2025-04-02,19.99
2025-04-03,13.29
2025-04-04,12.63
2025-04-05,13.84
2025-04-06,14.75
2025-04-07,15.23
2025-04-08,14.38
2025-04-09,14.53
2025-04-10,13.47
2025-04-11,17.52
2025-04-12,13.34
2025-04-13,9.8
2025-04-14,10.19
2025-04-15,13.72
2025-04-16,11.15
2025-04-17,10.66
2025-04-18,11.18
2025-04-19,13.84
2025-04-20,16.49
2025-04-21,21.59
2025-04-22,22.08
2025-04-23,19.9
2025-04-24,18.34
2025-04-25,19.2
2025-04-26,16.69
2025-04-27,15.59
2025-04-28,15.63
2025-04-29,14.8
2025-04-30,12.24
2025-05-01,11.02
2025-05-02,13.89
2025-05-03,16.05
2025-05-04,14.72
2025-05-05,14.68
2025-05-06,18.98
2025-05-07,13.92
2025-05-08,15.89
2025-05-09,17.45
2025-05-10,14.12
2025-05-11,21.87
2025-05-12,23.03
2025-05-13,24.03
2025-05-14,25.05
2025-05-15,21.7
2025-05-16,16.99
2025-05-17,7.88
2025-05-18,19.26
2025-05-19,22.44
2025-05-20,18.84
2025-05-21,16.79
2025-05-22,19.94
2025-05-23,21.05
2025-05-24,19.48
2025-05-25,16.26
2025-05-26,20.04
2025-05-27,15.9
2025-05-28,16.81
2025-05-29,16.35
2025-05-30,21.12
2025-05-31,12.69
2025-06-01,21.83
2025-06-02,25.29
2025-06-03,17.8
2025-06-04,20.2
2025-06-05,21.99
2025-06-06,23.81
2025-06-07,21.91
2025-06-08,24.55
2025-06-09,28.09
2025-06-10,25.04
2025-06-11,21.9
2025-06-12,25.97
2025-06-13,24.62
2025-06-14,25.64
2025-06-15,23.88
2025-06-16,25.4
2025-06-17,22.15
2025-06-18,20.56
2025-06-19,14.0
2025-06-20,24.34
2025-06-21,25.36
2025-06-22,24.48
2025-06-23,23.64
2025-06-24,24.56
2025-06-25,25.15
2025-06-26,24.11
2025-06-27,26.62
2025-06-28,24.91
2025-06-29,24.31
2025-06-30,26.06
2025-07-01,28.48
2025-07-02,28.36
2025-07-03,23.08
2025-07-04,21.97
2025-07-05,24.85
2025-07-06,27.55
2025-07-07,27.31
2025-07-08,26.81
2025-07-09,26.26
2025-07-10,27.0
2025-07-11,26.96
2025-07-12,19.59
2025-07-13,30.04
2025-07-14,30.82
2025-07-15,30.05
2025-07-16,29.17
2025-07-17,30.16
2025-07-18,29.34
2025-07-19,27.13
2025-07-20,30.01
2025-07-21,32.65
2025-07-22,33.04
2025-07-23,32.58
2025-07-24,33.33
2025-07-25,32.99
2025-07-26,32.2
2025-07-27,32.26
2025-07-28,30.4
2025-07-29,30.36
2025-07-30,31.07
2025-07-31,30.64
2025-08-01,27.6
2025-08-02,27.66
2025-08-03,30.12
2025-08-04,30.1
2025-08-05,30.8
2025-08-06,28.66
2025-08-07,29.8
2025-08-08,27.51
2025-08-09,20.41
2025-08-10,28.9
2025-08-11,28.68
2025-08-12,27.99
2025-08-13,28.19
2025-08-14,27.11
2025-08-15,28.66
2025-08-16,27.68
2025-08-17,25.95
2025-08-18,25.6
2025-08-19,27.88
2025-08-20,28.05
2025-08-21,23.99
2025-08-22,25.68
2025-08-23,23.25
2025-08-24,25.1
2025-08-25,25.8
2025-08-26,26.67
2025-08-27,22.69
2025-08-28,25.04
2025-08-29,24.57
2025-08-30,25.93
2025-08-31,20.32
2025-09-01,23.56
2025-09-02,24.09
2025-09-03,25.34
2025-09-04,24.84
2025-09-05,24.39
2025-09-06,21.95
2025-09-07,20.48
2025-09-08,13.82
2025-09-09,25.1
2025-09-10,24.88
2025-09-11,25.19
2025-09-12,25.78
2025-09-13,25.9
2025-09-14,25.8
2025-09-15,24.34
2025-09-16,24.69
2025-09-17,24.39
2025-09-18,25.56
