date,daily_avg_temp
2025-01-01,-1.72
2025-01-02,-2.06
2025-01-03,0.0
2025-01-04,-2.78
2025-01-05,-1.04
2025-01-06,-0.88
2025-01-07,-0.46
2025-01-08,2.4
2025-01-09,0.95
2025-01-10,-0.4
2025-01-11,-7.71
2025-01-12,-5.29
2025-01-13,-6.07
2025-01-14,-2.8
2025-01-15,1.0
2025-01-16,-4.03
2025-01-17,-4.68
2025-01-18,-3.6
2025-01-19,-5.71
2025-01-20,-3.62
2025-01-21,-1.54
2025-01-22,1.95
2025-01-23,2.78
2025-01-24,4.96
2025-01-25,2.36
2025-01-26,1.62
2025-01-27,-0.3
2025-01-28,-1.78
2025-01-29,-2.54
2025-01-30,-1.67
2025-01-31,0.74
2025-02-01,-1.71
2025-02-02,-2.64
2025-02-03,-2.86
2025-02-04,-4.89
2025-02-05,-4.84
2025-02-06,-2.86
2025-02-07,-0.98
2025-02-08,0.65
2025-02-09,2.16
2025-02-10,2.55
2025-02-11,4.58
2025-02-12,5.3
2025-02-13,4.82
2025-02-14,1.29
2025-02-15,-5.29
2025-02-16,-7.08
2025-02-17,-4.61
2025-02-18,0.69
2025-02-19,-2.58
2025-02-20,-3.9
2025-02-21,-2.05
2025-02-22,-4.36
2025-02-23,-4.25
2025-02-24,-0.01
2025-02-25,5.54
2025-02-26,4.92
2025-02-27,5.64
2025-02-28,7.52
2025-03-01,4.14
2025-03-02,5.29
2025-03-03,6.25
2025-03-04,7.35
2025-03-05,2.34
2025-03-06,2.29
2025-03-07,4.74
2025-03-08,6.36
2025-03-09,8.38
2025-03-10,9.66
2025-03-11,11.65
2025-03-12,14.41
2025-03-13,11.26
2025-03-14,7.14
2025-03-15,8.24
2025-03-16,12.2
2025-03-17,10.28
2025-03-18,6.32
2025-03-19,4.01
2025-03-20,4.66
2025-03-21,6.12
2025-03-22,8.5
2025-03-23,6.89
2025-03-24,9.0
2025-03-25,13.67
2025-03-26,11.21
2025-03-27,7.68
2025-03-28,9.07
2025-03-29,11.08
2025-03-30,11.55
2025-03-31,10.29
2025-04-01,9.35
2025-04-02,8.86
2025-04-03,11.0
2025-04-04,11.26
2025-04-05,11.64
2025-04-06,12.79
2025-04-07,10.7
2025-04-08,15.31
2025-04-09,18.42
2025-04-10,18.68
2025-04-11,21.06
2025-04-12,17.94
2025-04-13,11.99
2025-04-14,11.6
2025-04-15,13.28
2025-04-16,13.19
2025-04-17,15.38
2025-04-18,14.99
2025-04-19,15.27
2025-04-20,16.17
2025-04-21,17.39
2025-04-22,13.94
2025-04-23,18.7
2025-04-24,18.86
2025-04-25,19.94
2025-04-26,20.88
2025-04-27,17.46
2025-04-28,17.21
2025-04-29,12.64
2025-04-30,12.26
2025-05-01,13.46
2025-05-02,14.44
2025-05-03,15.22
2025-05-04,18.9
2025-05-05,19.01
2025-05-06,19.94
2025-05-07,18.42
2025-05-08,13.85
2025-05-09,18.49
2025-05-10,20.94
2025-05-11,19.42
2025-05-12,21.05
2025-05-13,18.45
2025-05-14,15.74
2025-05-15,16.45
2025-05-16,18.04
2025-05-17,20.76
2025-05-18,20.14
2025-05-19,20.06
2025-05-20,20.72
2025-05-21,19.74
2025-05-22,20.84
2025-05-23,23.02
2025-05-24,23.5
2025-05-25,20.1
2025-05-26,19.35
2025-05-27,19.97
2025-05-28,23.22
2025-05-29,22.87
2025-05-30,19.44
2025-05-31,21.14
2025-06-01,22.22
2025-06-02,21.85
2025-06-03,24.78
2025-06-04,25.12
2025-06-05,20.41
2025-06-06,9.68
2025-06-07,3.28
2025-06-08,21.44
2025-06-09,20.13
2025-06-10,20.79
2025-06-11,24.44
2025-06-12,24.25
2025-06-13,22.64
2025-06-14,19.98
2025-06-15,17.92
2025-06-16,20.65
2025-06-17,24.39
2025-06-18,23.37
2025-06-19,23.08
2025-06-20,25.15
2025-06-21,27.3
2025-06-22,26.84
2025-06-23,23.57
2025-06-24,23.58
2025-06-25,27.16
2025-06-26,26.75
2025-06-27,27.33
2025-06-28,26.66
2025-06-29,24.78
2025-06-30,22.15
2025-07-01,27.76
2025-07-02,29.31
2025-07-03,30.35
2025-07-04,29.64
2025-07-05,29.63
2025-07-06,29.23
2025-07-07,28.45
2025-07-08,25.76
2025-07-09,27.75
2025-07-10,29.64
2025-07-11,27.24
2025-07-12,27.82
2025-07-13,24.12
2025-07-14,25.76
2025-07-15,26.87
2025-07-16,23.54
2025-07-17,26.01
2025-07-18,27.64
2025-07-19,28.02
2025-07-20,25.8
2025-07-21,24.01
2025-07-22,25.7
2025-07-23,24.51
2025-07-24,25.74
2025-07-25,28.4
2025-07-26,30.24
2025-07-27,29.42
2025-07-28,30.54
2025-07-29,30.4
2025-07-30,31.0
2025-07-31,26.2
2025-08-01,29.36
2025-08-02,26.85
2025-08-03,28.64
2025-08-04,29.6
2025-08-05,29.85
2025-08-06,29.22
2025-08-07,29.7
2025-08-08,26.54
2025-08-09,14.9
2025-08-10,25.86
2025-08-11,25.43
2025-08-12,28.08
2025-08-13,25.43
2025-08-14,28.5
2025-08-15,27.77
2025-08-16,26.59
2025-08-17,25.8
2025-08-18,26.44
2025-08-19,17.35
2025-08-20,28.44
2025-08-21,28.67
2025-08-22,26.31
2025-08-23,25.86
2025-08-24,25.06
2025-08-25,22.4
2025-08-26,24.02
2025-08-27,21.44
2025-08-28,23.56
2025-08-29,20.01
2025-08-30,19.45
2025-08-31,21.14
2025-09-01,24.71
2025-09-02,25.1
2025-09-03,24.51
2025-09-04,22.11
2025-09-05,18.07
2025-09-06,22.79
2025-09-07,22.63
2025-09-08,23.74
2025-09-09,24.81
2025-09-10,24.2
2025-09-11,23.04
2025-09-12,24.44
2025-09-13,24.94
2025-09-14,24.9
2025-09-15,25.9
2025-09-16,26.3
2025-09-17,25.72
2025-09-18,27.65
2025-09-19,22.56
2025-09-20,19.24
2025-09-21,19.5
2025-09-22,19.84
2025-09-23,17.55
2025-09-24,19.45
2025-09-25,19.39
2025-09-26,19.62
2025-09-27,20.8
2025-09-28,20.08
2025-09-29,10.74
2025-09-30,20.58
2025-10-01,21.66
2025-10-02,19.07
2025-10-03,21.64
2025-10-04,16.39
2025-10-05,-0.71
2025-10-06,15.79
2025-10-07,14.15
2025-10-08,16.17
2025-10-09,12.35
2025-10-10,9.12
2025-10-11,11.4
2025-10-12,14.2
2025-10-13,14.52
2025-10-14,15.28
2025-10-15,16.75
2025-10-16,14.95
2025-10-17,8.74
2025-10-18,6.94
2025-10-19,8.84
2025-10-20,11.81
2025-10-21,12.21
2025-10-22,14.94
2025-10-23,12.52
2025-10-24,8.82
2025-10-25,9.52
2025-10-26,11.33
2025-10-27,11.59
2025-10-28,12.34
2025-10-29,12.54
2025-10-30,13.0
2025-10-31,12.94
2025-11-01,10.3
2025-11-02,9.89
2025-11-03,7.3
2025-11-04,3.2
2025-11-05,6.11
2025-11-06,8.65
2025-11-07,11.4
2025-11-08,9.81
2025-11-09,10.42
2025-11-10,11.98
2025-11-11,13.9
2025-11-12,15.05
2025-11-13,8.95
2025-11-14,7.55
2025-11-15,7.14
2025-11-16,7.2
2025-11-17,7.95
