date,daily_avg_temp
2025-01-01,-2.29
2025-01-02,-2.8
2025-01-03,-0.52
2025-01-04,-3.38
2025-01-05,-2.41
2025-01-06,-1.78
2025-01-07,-1.3
2025-01-08,1.55
2025-01-09,-0.07
2025-01-10,-0.75
2025-01-11,-8.28
2025-01-12,-5.69
2025-01-13,-6.98
2025-01-14,-3.8
2025-01-15,0.09
2025-01-16,-4.58
2025-01-17,-5.49
2025-01-18,-4.53
2025-01-19,-6.78
2025-01-20,-4.53
2025-01-21,-2.14
2025-01-22,1.11
2025-01-23,2.94
2025-01-24,4.3
2025-01-25,1.2
2025-01-26,0.86
2025-01-27,-1.06
2025-01-28,-2.26
2025-01-29,-3.39
2025-01-30,-2.24
2025-01-31,0.31
2025-02-01,-2.5
2025-02-02,-3.14
2025-02-03,-3.36
2025-02-04,-5.38
2025-02-05,-5.6
2025-02-06,-3.62
2025-02-07,-1.88
2025-02-08,-0.23
2025-02-09,1.08
2025-02-10,1.78
2025-02-11,3.78
2025-02-12,4.42
2025-02-13,3.85
2025-02-14,0.79
2025-02-15,-6.06
2025-02-16,-7.42
2025-02-17,-5.6
2025-02-18,-0.01
2025-02-19,-3.12
2025-02-20,-4.53
2025-02-21,-2.78
2025-02-22,-4.96
2025-02-23,-5.14
2025-02-24,-0.99
2025-02-25,5.05
2025-02-26,3.62
2025-02-27,4.96
2025-02-28,6.78
2025-03-01,2.95
2025-03-02,4.53
2025-03-03,5.21
2025-03-04,6.71
2025-03-05,1.59
2025-03-06,1.5
2025-03-07,4.06
2025-03-08,5.42
2025-03-09,7.65
2025-03-10,9.02
2025-03-11,10.78
2025-03-12,13.85
2025-03-13,10.56
2025-03-14,5.98
2025-03-15,7.12
2025-03-16,11.35
2025-03-17,9.65
2025-03-18,5.5
2025-03-19,3.05
2025-03-20,3.64
2025-03-21,5.04
2025-03-22,7.57
2025-03-23,5.79
2025-03-24,8.04
2025-03-25,13.08
2025-03-26,9.74
2025-03-27,6.74
2025-03-28,7.79
2025-03-29,10.06
2025-03-30,11.12
2025-03-31,9.32
2025-04-01,7.94
2025-04-02,7.92
2025-04-03,10.01
2025-04-04,9.96
2025-04-05,10.62
2025-04-06,12.04
2025-04-07,9.8
2025-04-08,14.54
2025-04-09,17.46
2025-04-10,17.91
2025-04-11,20.35
2025-04-12,17.31
2025-04-13,10.86
2025-04-14,10.61
2025-04-15,12.31
2025-04-16,12.05
2025-04-17,14.25
2025-04-18,13.68
2025-04-19,14.39
2025-04-20,14.81
2025-04-21,16.5
2025-04-22,13.09
2025-04-23,17.45
2025-04-24,18.09
2025-04-25,19.05
2025-04-26,20.11
2025-04-27,16.55
2025-04-28,16.66
2025-04-29,11.69
2025-04-30,11.48
2025-05-01,12.5
2025-05-02,13.29
2025-05-03,13.99
2025-05-04,17.61
2025-05-05,18.02
2025-05-06,19.35
2025-05-07,17.52
2025-05-08,13.25
2025-05-09,17.25
2025-05-10,19.79
2025-05-11,18.59
2025-05-12,20.54
2025-05-13,17.85
2025-05-14,14.82
2025-05-15,15.63
2025-05-16,16.96
2025-05-17,19.84
2025-05-18,19.14
2025-05-19,18.99
2025-05-20,20.09
2025-05-21,18.94
2025-05-22,19.86
2025-05-23,21.69
2025-05-24,22.36
2025-05-25,19.47
2025-05-26,18.42
2025-05-27,19.19
