date,daily_avg_temp
2025-01-01,-2.6
2025-01-02,-3.44
2025-01-03,-1.48
2025-01-04,-4.42
2025-01-05,-3.14
2025-01-06,-2.7
2025-01-07,-1.69
2025-01-08,1.06
2025-01-09,-0.6
2025-01-10,-1.9
2025-01-11,-9.5
2025-01-12,-6.85
2025-01-13,-7.89
2025-01-14,-3.9
2025-01-15,0.07
2025-01-16,-5.64
2025-01-17,-6.25
2025-01-18,-5.42
2025-01-19,-7.25
2025-01-20,-4.62
2025-01-21,-1.9
2025-01-22,1.09
2025-01-23,1.72
2025-01-24,4.19
2025-01-25,1.06
2025-01-26,0.09
2025-01-27,-2.3
2025-01-28,-3.65
2025-01-29,-4.4
2025-01-30,-3.21
2025-01-31,-0.34
2025-02-01,-3.4
2025-02-02,-4.1
2025-02-03,-4.26
2025-02-04,-6.8
2025-02-05,-6.82
2025-02-06,-4.08
2025-02-07,-2.31
2025-02-08,-0.79
2025-02-09,1.02
2025-02-10,1.19
2025-02-11,3.38
2025-02-12,4.55
2025-02-13,4.29
2025-02-14,-0.28
2025-02-15,-7.48
2025-02-16,-9.01
2025-02-17,-6.26
2025-02-18,-0.52
2025-02-19,-4.54
2025-02-20,-5.54
2025-02-21,-3.45
2025-02-22,-6.35
2025-02-23,-5.99
2025-02-24,-1.58
2025-02-25,4.21
2025-02-26,3.1
2025-02-27,3.86
2025-02-28,6.88
2025-03-01,2.26
2025-03-02,3.36
2025-03-03,5.22
2025-03-04,6.32
2025-03-05,0.71
2025-03-06,0.81
2025-03-07,3.09
2025-03-08,6.0
2025-03-09,7.35
2025-03-10,9.32
2025-03-11,11.08
2025-03-12,13.18
2025-03-13,10.41
2025-03-14,5.19
2025-03-15,6.75
2025-03-16,10.84
2025-03-17,9.32
2025-03-18,5.11
2025-03-19,3.09
2025-03-20,3.12
2025-03-21,5.01
2025-03-22,6.6
2025-03-23,4.86
2025-03-24,8.38
2025-03-25,13.31
2025-03-26,8.65
2025-03-27,6.3
2025-03-28,8.19
2025-03-29,10.34
2025-03-30,11.04
2025-03-31,9.86
2025-04-01,7.98
2025-04-02,7.22
2025-04-03,9.28
2025-04-04,9.62
2025-04-05,10.68
2025-04-06,11.75
2025-04-07,9.19
2025-04-08,15.09
2025-04-09,17.73
2025-04-10,18.27
2025-04-11,20.45
2025-04-12,17.08
2025-04-13,10.1
2025-04-14,10.62
2025-04-15,12.35
2025-04-16,11.26
2025-04-17,13.52
2025-04-18,13.26
2025-04-19,13.9
2025-04-20,14.95
2025-04-21,16.32
2025-04-22,12.49
2025-04-23,17.92
2025-04-24,18.28
2025-04-25,19.61
2025-04-26,19.96
2025-04-27,16.3
2025-04-28,16.26
2025-04-29,12.26
2025-04-30,11.49
2025-05-01,12.46
2025-05-02,13.51
2025-05-03,14.49
2025-05-04,18.09
2025-05-05,18.65
2025-05-06,19.38
2025-05-07,17.6
2025-05-08,13.53
2025-05-09,18.02
2025-05-10,20.07
2025-05-11,18.55
2025-05-12,20.82
2025-05-13,17.99
2025-05-14,14.75
2025-05-15,15.23
2025-05-16,17.25
2025-05-17,20.12
2025-05-18,19.27
2025-05-19,19.02
2025-05-20,20.09
2025-05-21,18.27
2025-05-22,19.64
2025-05-23,21.69
2025-05-24,22.34
2025-05-25,18.85
2025-05-26,18.16
2025-05-27,19.11
2025-05-28,22.47
2025-05-29,22.41
2025-05-30,18.96
2025-05-31,21.05
2025-06-01,21.66
2025-06-02,21.36
2025-06-03,24.15
2025-06-04,25.42
2025-06-05,20.25
2025-06-06,9.52
2025-06-07,3.46
2025-06-08,20.81
2025-06-09,20.53
2025-06-10,21.41
2025-06-11,24.34
2025-06-12,24.04
2025-06-13,22.68
2025-06-14,19.7
2025-06-15,17.58
2025-06-16,19.94
2025-06-17,23.62
2025-06-18,22.76
2025-06-19,23.0
2025-06-20,25.04
2025-06-21,26.06
2025-06-22,25.96
2025-06-23,22.66
2025-06-24,21.99
2025-06-25,26.31
2025-06-26,26.38
2025-06-27,26.6
2025-06-28,25.77
2025-06-29,23.58
2025-06-30,22.32
2025-07-01,27.23
2025-07-02,29.0
2025-07-03,30.06
2025-07-04,29.25
2025-07-05,29.16
2025-07-06,29.16
