date,daily_avg_temp
2025-01-01,-1.09
2025-01-02,-1.89
2025-01-03,-0.04
2025-01-04,-3.01
2025-01-05,-1.21
2025-01-06,-1.35
2025-01-07,-0.25
2025-01-08,2.64
2025-01-09,1.06
2025-01-10,-0.29
2025-01-11,-7.61
2025-01-12,-5.24
2025-01-13,-5.79
2025-01-14,-2.36
2025-01-15,1.8
2025-01-16,-3.84
2025-01-17,-4.53
2025-01-18,-3.4
2025-01-19,-5.2
2025-01-20,-3.01
2025-01-21,-0.66
2025-01-22,1.76
2025-01-23,3.2
2025-01-24,5.3
2025-01-25,2.94
2025-01-26,1.33
2025-01-27,-0.84
2025-01-28,-2.25
2025-01-29,-2.84
2025-01-30,-1.52
2025-01-31,0.81
2025-02-01,-1.39
2025-02-02,-2.42
2025-02-03,-2.78
2025-02-04,-4.84
2025-02-05,-4.3
2025-02-06,-2.09
2025-02-07,-0.26
2025-02-08,0.86
2025-02-09,1.9
2025-02-10,2.3
2025-02-11,4.12
2025-02-12,5.24
2025-02-13,5.1
2025-02-14,1.3
2025-02-15,-5.12
2025-02-16,-6.82
2025-02-17,-4.35
2025-02-18,0.59
2025-02-19,-2.65
2025-02-20,-3.39
2025-02-21,-1.3
2025-02-22,-4.2
2025-02-23,-4.16
2025-02-24,0.15
2025-02-25,5.66
2025-02-26,5.16
2025-02-27,5.66
2025-02-28,7.8
2025-03-01,4.38
2025-03-02,4.82
2025-03-03,6.84
2025-03-04,7.82
2025-03-05,2.45
2025-03-06,2.24
2025-03-07,4.59
2025-03-08,6.74
2025-03-09,7.89
2025-03-10,10.28
2025-03-11,11.45
2025-03-12,14.1
2025-03-13,11.32
2025-03-14,7.25
2025-03-15,7.96
2025-03-16,11.39
2025-03-17,10.36
2025-03-18,6.68
2025-03-19,5.16
2025-03-20,5.09
2025-03-21,6.02
2025-03-22,8.14
2025-03-23,6.88
2025-03-24,9.48
2025-03-25,13.72
2025-03-26,10.65
2025-03-27,8.0
2025-03-28,9.11
2025-03-29,11.6
2025-03-30,11.61
2025-03-31,11.11
2025-04-01,9.29
2025-04-02,8.89
2025-04-03,10.68
2025-04-04,10.98
2025-04-05,11.89
2025-04-06,12.25
2025-04-07,10.6
2025-04-08,15.91
2025-04-09,18.38
2025-04-10,18.9
2025-04-11,20.69
2025-04-12,17.76
2025-04-13,11.79
2025-04-14,12.14
2025-04-15,13.42
2025-04-16,12.81
2025-04-17,14.87
2025-04-18,14.69
2025-04-19,15.34
2025-04-20,16.35
2025-04-21,17.56
2025-04-22,14.0
2025-04-23,18.45
2025-04-24,18.46
2025-04-25,20.14
2025-04-26,20.29
2025-04-27,17.15
2025-04-28,16.91
2025-04-29,13.41
2025-04-30,13.22
2025-05-01,14.01
2025-05-02,14.82
2025-05-03,15.9
2025-05-04,19.36
2025-05-05,19.63
2025-05-06,19.71
2025-05-07,18.7
2025-05-08,14.66
2025-05-09,18.78
2025-05-10,20.3
2025-05-11,18.89
2025-05-12,20.98
2025-05-13,18.51
2025-05-14,15.83
2025-05-15,16.57
2025-05-16,18.29
2025-05-17,21.1
2025-05-18,20.45
2025-05-19,20.31
2025-05-20,20.84
2025-05-21,19.33
2025-05-22,20.56
2025-05-23,22.46
2025-05-24,22.51
2025-05-25,19.79
2025-05-26,19.4
2025-05-27,19.92
2025-05-28,23.34
2025-05-29,22.28
2025-05-30,19.74
2025-05-31,21.86
2025-06-01,22.15
2025-06-02,21.75
2025-06-03,24.1
2025-06-04,25.43
2025-06-05,20.99
2025-06-06,10.22
2025-06-07,3.66
2025-06-08,21.58
2025-06-09,21.08
2025-06-10,21.74
2025-06-11,24.83
2025-06-12,23.86
2025-06-13,22.89
2025-06-14,20.15
2025-06-15,18.66
2025-06-16,21.09
2025-06-17,24.06
2025-06-18,23.93
2025-06-19,23.85
2025-06-20,25.15
2025-06-21,25.97
2025-06-22,26.27
2025-06-23,23.61
2025-06-24,23.35
2025-06-25,27.5
2025-06-26,27.34
2025-06-27,27.84
2025-06-28,27.08
2025-06-29,24.75
2025-06-30,22.4
2025-07-01,27.16
2025-07-02,28.26
2025-07-03,29.24
2025-07-04,28.12
2025-07-05,28.96
2025-07-06,28.31
2025-07-07,28.46
2025-07-08,26.01
2025-07-09,27.49
2025-07-10,29.1
2025-07-11,27.56
2025-07-12,27.59
2025-07-13,24.62
2025-07-14,25.99
