date,daily_avg_temp
2025-01-01,-1.92
2025-01-02,-5.0
2025-01-03,-3.65
2025-01-04,-1.81
2025-01-05,-1.11
2025-01-06,1.52
2025-01-07,-0.32
2025-01-08,2.48
2025-01-09,-5.9
2025-01-10,2.0
2025-01-11,2.89
2025-01-12,7.74
2025-01-13,8.18
2025-01-14,4.24
2025-01-15,-2.65
2025-01-16,-5.06
2025-01-17,-3.21
2025-01-18,-2.52
2025-01-19,1.05
2025-01-20,-6.48
2025-01-21,-2.85
2025-01-22,-0.54
2025-01-23,-4.8
2025-01-24,-15.61
2025-01-25,-9.35
2025-01-26,-6.2
2025-01-27,-7.9
2025-01-28,-5.2
2025-01-29,-0.79
2025-01-30,-0.92
2025-01-31,3.26
2025-02-01,-0.82
2025-02-02,-2.0
2025-02-03,-1.41
2025-02-04,0.12
2025-02-05,1.95
2025-02-06,2.81
2025-02-07,3.25
2025-02-08,1.91
2025-02-09,4.82
2025-02-10,2.62
2025-02-11,2.68
2025-02-12,4.97
2025-02-13,3.74
2025-02-14,1.24
2025-02-15,3.28
2025-02-16,0.79
2025-02-17,4.46
2025-02-18,5.22
2025-02-19,1.94
2025-02-20,-1.79
2025-02-21,-1.16
2025-02-22,1.42
2025-02-23,3.42
2025-02-24,2.06
2025-02-25,0.75
2025-02-26,2.7
2025-02-27,4.15
2025-02-28,5.52
2025-03-01,3.86
2025-03-02,1.42
2025-03-03,5.24
2025-03-04,6.78
2025-03-05,7.65
2025-03-06,9.78
2025-03-07,11.26
2025-03-08,12.88
2025-03-09,8.56
2025-03-10,14.88
2025-03-11,14.18
2025-03-12,2.36
2025-03-13,3.6
2025-03-14,9.91
2025-03-15,6.61
2025-03-16,4.53
2025-03-17,7.56
2025-03-18,7.22
2025-03-19,7.82
2025-03-20,9.61
2025-03-21,13.94
2025-03-22,17.76
2025-03-23,15.36
2025-03-24,12.36
2025-03-25,11.59
2025-03-26,7.46
2025-03-27,7.12
2025-03-28,9.28
2025-03-29,11.78
2025-03-30,13.31
2025-03-31,15.41
2025-04-01,18.15
2025-04-02,17.7
2025-04-03,18.86
2025-04-04,15.5
2025-04-05,10.1
2025-04-06,7.41
2025-04-07,7.99
2025-04-08,8.34
2025-04-09,10.65
2025-04-10,14.66
2025-04-11,10.7
2025-04-12,9.54
2025-04-13,5.56
2025-04-14,15.76
2025-04-15,10.75
2025-04-16,10.52
2025-04-17,13.97
2025-04-18,12.44
2025-04-19,18.84
2025-04-20,14.41
2025-04-21,16.19
2025-04-22,15.29
2025-04-23,16.16
2025-04-24,14.03
2025-04-25,9.74
2025-04-26,8.25
2025-04-27,13.24
2025-04-28,16.16
2025-04-29,10.48
2025-04-30,12.41
2025-05-01,14.34
2025-05-02,17.21
2025-05-03,19.3
2025-05-04,20.83
2025-05-05,16.01
2025-05-06,12.31
2025-05-07,12.99
2025-05-08,15.04
2025-05-09,16.61
2025-05-10,18.7
2025-05-11,19.1
2025-05-12,17.71
2025-05-13,17.3
2025-05-14,17.35
2025-05-15,21.22
2025-05-16,23.5
2025-05-17,22.57
2025-05-18,20.18
2025-05-19,21.66
2025-05-20,19.07
2025-05-21,17.54
2025-05-22,19.35
2025-05-23,19.95
2025-05-24,20.09
2025-05-25,19.89
2025-05-26,20.86
2025-05-27,18.06
2025-05-28,18.79
2025-05-29,23.11
2025-05-30,22.4
2025-05-31,22.3
2025-06-01,21.71
2025-06-02,19.58
2025-06-03,21.22
2025-06-04,21.82
2025-06-05,20.6
2025-06-06,19.95
2025-06-07,20.51
2025-06-08,19.74
2025-06-09,23.14
2025-06-10,20.41
2025-06-11,21.69
2025-06-12,21.72
2025-06-13,20.66
2025-06-14,20.49
2025-06-15,22.15
2025-06-16,23.15
2025-06-17,24.09
2025-06-18,26.35
2025-06-19,27.89
2025-06-20,21.95
2025-06-21,19.62
2025-06-22,21.86
2025-06-23,24.44
2025-06-24,26.26
2025-06-25,27.5
2025-06-26,22.77
2025-06-27,25.27
2025-06-28,26.14
2025-06-29,23.06
2025-06-30,25.4
2025-07-01,26.96
2025-07-02,26.36
2025-07-03,28.82
2025-07-04,24.5
2025-07-05,23.86
2025-07-06,27.24
2025-07-07,25.29
2025-07-08,25.64
2025-07-09,22.88
2025-07-10,26.19
2025-07-11,21.81
2025-07-12,26.0
2025-07-13,24.06
2025-07-14,23.96
2025-07-15,23.79
2025-07-16,23.77
2025-07-17,24.86
2025-07-18,23.86
2025-07-19,27.06
2025-07-20,27.45
2025-07-21,29.05
2025-07-22,25.69
2025-07-23,24.53
2025-07-24,26.69
2025-07-25,26.76
2025-07-26,26.46
2025-07-27,27.95
2025-07-28,28.77
2025-07-29,28.3
2025-07-30,27.74
2025-07-31,28.27
2025-08-01,29.6
2025-08-02,28.7
2025-08-03,28.94
2025-08-04,29.08
2025-08-05,29.94
2025-08-06,28.28
2025-08-07,29.77
2025-08-08,29.94
2025-08-09,25.94
2025-08-10,21.36
2025-08-11,23.51
2025-08-12,22.41
2025-08-13,26.62
2025-08-14,27.54
2025-08-15,27.21
2025-08-16,26.82
2025-08-17,27.59
2025-08-18,28.52
2025-08-19,28.28
2025-08-20,27.88
2025-08-21,29.23
2025-08-22,26.41
2025-08-23,23.1
2025-08-24,24.68
2025-08-25,25.58
2025-08-26,25.28
2025-08-27,24.7
2025-08-28,22.79
2025-08-29,22.46
2025-08-30,21.71
2025-08-31,22.63
2025-09-01,23.9
2025-09-02,25.1
2025-09-03,24.75
2025-09-04,26.54
2025-09-05,27.3
2025-09-06,26.05
2025-09-07,24.85
2025-09-08,24.7
2025-09-09,25.45
2025-09-10,25.06
2025-09-11,24.82
2025-09-12,25.12
2025-09-13,20.16
2025-09-14,23.19
2025-09-15,21.85
2025-09-16,22.73
2025-09-17,24.2
2025-09-18,23.8
2025-09-19,23.56
2025-09-20,18.83
2025-09-21,18.3
2025-09-22,19.89
2025-09-23,21.07
2025-09-24,20.56
2025-09-25,20.28
2025-09-26,19.46
2025-09-27,20.89
2025-09-28,21.09
2025-09-29,20.85
2025-09-30,18.24
2025-10-01,17.48
2025-10-02,17.59
2025-10-03,16.49
2025-10-04,15.88
2025-10-05,13.58
2025-10-06,15.3
2025-10-07,16.75
2025-10-08,16.5
2025-10-09,15.44
2025-10-10,16.36
2025-10-11,16.26
2025-10-12,17.74
2025-10-13,16.57
2025-10-14,12.75
2025-10-15,15.79
2025-10-16,13.22
2025-10-17,13.55
2025-10-18,16.84
2025-10-19,14.82
2025-10-20,9.69
2025-10-21,9.74
2025-10-22,13.22
2025-10-23,14.35
2025-10-24,14.98
2025-10-25,16.49
2025-10-26,15.79
2025-10-27,13.76
2025-10-28,13.26
2025-10-29,14.15
2025-10-30,14.98
2025-10-31,16.9
2025-11-01,18.71
2025-11-02,19.98
2025-11-03,17.54
