date,daily_avg_temp
2025-01-01,4.56
2025-01-02,3.55
2025-01-03,1.59
2025-01-04,4.61
2025-01-05,4.21
2025-01-06,0.4
2025-01-07,-5.21
2025-01-08,-1.45
2025-01-09,-0.22
2025-01-10,0.1
2025-01-11,3.3
2025-01-12,1.02
2025-01-13,1.68
2025-01-14,-0.82
2025-01-15,-3.09
2025-01-16,0.34
2025-01-17,1.51
2025-01-18,5.86
2025-01-19,5.58
2025-01-20,3.42
2025-01-21,-0.82
2025-01-22,-10.07
2025-01-23,-9.9
2025-01-24,-6.38
2025-01-25,-3.34
2025-01-26,-0.25
2025-01-27,0.1
2025-01-28,-0.54
2025-01-29,0.7
2025-01-30,3.31
2025-01-31,4.44
2025-02-01,2.98
2025-02-02,3.06
2025-02-03,5.8
2025-02-04,7.64
2025-02-05,2.01
2025-02-06,1.51
2025-02-07,0.82
2025-02-08,1.64
2025-02-09,2.48
2025-02-10,2.61
2025-02-11,2.19
2025-02-12,5.88
2025-02-13,10.75
2025-02-14,12.51
2025-02-15,2.4
2025-02-16,3.54
2025-02-17,5.95
2025-02-18,9.09
2025-02-19,7.01
2025-02-20,4.78
2025-02-21,1.32
2025-02-22,0.91
2025-02-23,2.47
2025-02-24,2.75
2025-02-25,3.2
2025-02-26,5.74
2025-02-27,6.42
2025-02-28,6.68
2025-02-29,3.22
2025-03-01,-4.45
2025-03-02,3.09
2025-03-03,4.31
2025-03-04,7.62
2025-03-05,7.89
2025-03-06,6.61
2025-03-07,3.99
2025-03-08,2.5
2025-03-09,2.81
2025-03-10,5.9
2025-03-11,7.81
2025-03-12,6.44
2025-03-13,7.84
2025-03-14,9.12
2025-03-15,9.6
2025-03-16,12.13
2025-03-17,7.49
2025-03-18,8.29
2025-03-19,6.46
2025-03-20,4.74
2025-03-21,6.58
2025-03-22,12.41
2025-03-23,13.02
2025-03-24,16.89
2025-03-25,8.66
2025-03-26,8.54
2025-03-27,12.45
2025-03-28,9.69
2025-03-29,8.56
2025-03-30,9.43
2025-03-31,11.93
2025-04-01,13.05
2025-04-02,16.86
2025-04-03,16.0
2025-04-04,15.15
2025-04-05,13.4
2025-04-06,13.15
2025-04-07,15.69
2025-04-08,16.21
2025-04-09,15.01
2025-04-10,14.59
2025-04-11,15.86
2025-04-12,16.99
2025-04-13,19.07
2025-04-14,21.32
2025-04-15,13.9
2025-04-16,13.21
2025-04-17,15.29
2025-04-18,17.77
2025-04-19,19.04
2025-04-20,15.26
2025-04-21,17.6
2025-04-22,18.38
2025-04-23,16.78
2025-04-24,12.73
2025-04-25,14.81
2025-04-26,18.1
2025-04-27,18.45
2025-04-28,21.16
2025-04-29,20.35
2025-04-30,17.96
2025-05-01,18.22
2025-05-02,18.49
2025-05-03,20.79
2025-05-04,21.83
2025-05-05,16.96
2025-05-06,14.08
2025-05-07,14.1
2025-05-08,15.92
2025-05-09,17.35
2025-05-10,19.51
2025-05-11,16.73
2025-05-12,17.81
2025-05-13,19.12
2025-05-14,20.11
2025-05-15,11.09
2025-05-16,15.82
2025-05-17,20.18
2025-05-18,21.51
2025-05-19,21.5
2025-05-20,19.67
2025-05-21,21.0
2025-05-22,20.39
2025-05-23,19.87
2025-05-24,21.21
2025-05-25,21.66
2025-05-26,19.09
2025-05-27,19.41
2025-05-28,21.06
2025-05-29,22.48
2025-05-30,21.62
2025-05-31,20.55
2025-06-01,20.58
2025-06-02,21.74
2025-06-03,22.98
2025-06-04,23.54
2025-06-05,23.94
2025-06-06,23.92
2025-06-07,22.61
2025-06-08,20.86
2025-06-09,23.09
2025-06-10,25.73
2025-06-11,24.71
2025-06-12,24.47
2025-06-13,26.14
2025-06-14,25.55
2025-06-15,23.56
2025-06-16,24.32
2025-06-17,25.43
2025-06-18,26.2
2025-06-19,28.76
2025-06-20,28.36
2025-06-21,28.08
2025-06-22,23.44
2025-06-23,25.12
2025-06-24,24.46
2025-06-25,23.29
2025-06-26,25.49
2025-06-27,26.47
2025-06-28,27.17
2025-06-29,26.19
2025-06-30,23.99
2025-07-01,27.19
2025-07-02,24.05
2025-07-03,25.27
2025-07-04,26.83
2025-07-05,24.36
2025-07-06,25.7
2025-07-07,24.81
2025-07-08,23.84
2025-07-09,24.75
2025-07-10,27.14
2025-07-11,25.36
2025-07-12,26.15
2025-07-13,28.17
2025-07-14,28.2
2025-07-15,28.44
2025-07-16,25.93
2025-07-17,26.31
2025-07-18,24.3
2025-07-19,27.59
2025-07-20,26.51
2025-07-21,28.18
2025-07-22,27.59
2025-07-23,27.29
2025-07-24,28.78
2025-07-25,28.56
2025-07-26,29.07
2025-07-27,28.58
2025-07-28,30.06
2025-07-29,27.97
2025-07-30,29.49
2025-07-31,30.44
2025-08-01,30.77
2025-08-02,30.31
2025-08-03,30.29
2025-08-04,31.42
2025-08-05,29.36
2025-08-06,29.26
2025-08-07,29.25
2025-08-08,28.42
2025-08-09,29.79
2025-08-10,30.62
2025-08-11,31.38
2025-08-12,31.21
2025-08-13,30.99
2025-08-14,30.15
2025-08-15,30.48
2025-08-16,30.58
2025-08-17,30.42
2025-08-18,30.0
2025-08-19,30.41
2025-08-20,31.46
2025-08-21,29.6
2025-08-22,29.05
2025-08-23,29.26
2025-08-24,28.13
2025-08-25,29.08
2025-08-26,28.45
2025-08-27,27.42
2025-08-28,29.12
2025-08-29,29.02
2025-08-30,28.02
2025-08-31,28.28
2025-09-01,27.73
2025-09-02,25.7
2025-09-03,27.9
2025-09-04,28.37
2025-09-05,26.53
2025-09-06,24.36
2025-09-07,26.98
2025-09-08,27.65
2025-09-09,28.91
2025-09-10,29.66
2025-09-11,28.93
2025-09-12,25.85
2025-09-13,26.98
2025-09-14,28.37
2025-09-15,26.94
2025-09-16,28.25
2025-09-17,28.89
2025-09-18,29.98
2025-09-19,29.15
2025-09-20,23.4
2025-09-21,20.81
2025-09-22,21.76
2025-09-23,21.3
2025-09-24,22.14
2025-09-25,24.32
2025-09-26,23.67
2025-09-27,23.75
2025-09-28,23.64
2025-09-29,24.16
2025-09-30,23.7
2025-10-01,16.7
2025-10-02,16.03
2025-10-03,17.9
2025-10-04,18.6
2025-10-05,19.06
2025-10-06,16.6
2025-10-07,18.1
2025-10-08,18.99
2025-10-09,20.06
2025-10-10,19.2
