date,daily_avg_temp
2025-01-01,2.85
2025-01-02,1.66
2025-01-03,-0.55
2025-01-04,2.86
2025-01-05,2.44
2025-01-06,-0.98
2025-01-07,-7.32
2025-01-08,-3.19
2025-01-09,-1.96
2025-01-10,-2.04
2025-01-11,1.28
2025-01-12,-0.55
2025-01-13,0.18
2025-01-14,-2.56
2025-01-15,-4.66
2025-01-16,-1.16
2025-01-17,-0.14
2025-01-18,4.38
2025-01-19,4.03
2025-01-20,1.32
2025-01-21,-2.74
2025-01-22,-12.76
2025-01-23,-12.59
2025-01-24,-8.66
2025-01-25,-5.34
2025-01-26,-1.66
2025-01-27,-1.58
2025-01-28,-2.24
2025-01-29,-0.75
2025-01-30,1.96
2025-01-31,3.46
2025-02-01,1.79
2025-02-02,1.67
2025-02-03,4.3
2025-02-04,6.18
2025-02-05,-0.26
2025-02-06,-0.3
2025-02-07,-1.3
2025-02-08,-0.15
2025-02-09,0.57
2025-02-10,0.3
2025-02-11,0.2
2025-02-12,5.44
2025-02-13,10.5
2025-02-14,11.91
2025-02-15,0.2
2025-02-16,1.94
2025-02-17,4.96
2025-02-18,7.66
2025-02-19,5.58
2025-02-20,2.71
2025-02-21,-0.94
2025-02-22,-1.52
2025-02-23,0.52
2025-02-24,1.16
2025-02-25,1.29
2025-02-26,3.88
2025-02-27,5.05
2025-02-28,5.72
2025-02-29,1.67
2025-03-01,-6.71
2025-03-02,1.14
2025-03-03,2.55
2025-03-04,6.72
2025-03-05,6.34
2025-03-06,5.34
2025-03-07,2.31
2025-03-08,1.16
2025-03-09,1.04
2025-03-10,4.49
2025-03-11,6.69
2025-03-12,4.71
2025-03-13,5.91
2025-03-14,7.7
2025-03-15,8.1
2025-03-16,11.25
2025-03-17,5.92
2025-03-18,7.11
2025-03-19,4.95
2025-03-20,2.71
2025-03-21,5.54
2025-03-22,11.41
2025-03-23,12.54
2025-03-24,16.34
2025-03-25,7.05
2025-03-26,6.98
2025-03-27,11.12
2025-03-28,8.3
2025-03-29,6.3
2025-03-30,8.1
2025-03-31,10.78
2025-04-01,11.97
2025-04-02,17.11
2025-04-03,15.24
2025-04-04,14.82
2025-04-05,11.99
2025-04-06,11.68
2025-04-07,15.32
2025-04-08,15.89
2025-04-09,14.52
2025-04-10,13.5
2025-04-11,15.44
2025-04-12,17.38
2025-04-13,19.29
2025-04-14,21.46
2025-04-15,12.61
2025-04-16,11.69
2025-04-17,14.75
2025-04-18,16.75
2025-04-19,18.12
2025-04-20,13.46
2025-04-21,16.51
2025-04-22,17.8
2025-04-23,16.12
2025-04-24,11.44
2025-04-25,14.3
2025-04-26,17.51
2025-04-27,17.74
2025-04-28,21.51
2025-04-29,19.79
2025-04-30,16.52
2025-05-01,17.25
2025-05-02,17.21
2025-05-03,19.59
2025-05-04,21.66
2025-05-05,15.59
2025-05-06,12.18
2025-05-07,11.9
2025-05-08,14.55
2025-05-09,15.89
2025-05-10,17.89
2025-05-11,15.22
2025-05-12,16.24
2025-05-13,18.1
2025-05-14,18.49
2025-05-15,9.71
2025-05-16,14.26
2025-05-17,19.09
2025-05-18,21.02
2025-05-19,21.48
2025-05-20,18.91
2025-05-21,21.2
2025-05-22,19.76
2025-05-23,19.7
2025-05-24,20.7
2025-05-25,20.84
2025-05-26,17.79
2025-05-27,18.41
2025-05-28,20.21
2025-05-29,21.39
2025-05-30,21.03
2025-05-31,19.79
2025-06-01,19.84
2025-06-02,20.53
2025-06-03,22.46
2025-06-04,23.22
2025-06-05,23.31
2025-06-06,23.3
2025-06-07,22.61
2025-06-08,20.16
2025-06-09,23.05
2025-06-10,24.86
2025-06-11,24.3
2025-06-12,25.06
2025-06-13,26.7
2025-06-14,26.13
2025-06-15,22.96
2025-06-16,23.31
2025-06-17,24.59
2025-06-18,25.45
2025-06-19,28.86
2025-06-20,28.54
2025-06-21,27.84
2025-06-22,22.53
2025-06-23,24.25
2025-06-24,23.27
2025-06-25,22.23
2025-06-26,25.16
2025-06-27,26.64
2025-06-28,26.85
2025-06-29,26.34
2025-06-30,22.44
2025-07-01,26.66
2025-07-02,22.64
2025-07-03,23.8
2025-07-04,25.74
2025-07-05,23.04
2025-07-06,24.3
2025-07-07,24.34
2025-07-08,22.78
2025-07-09,23.83
2025-07-10,26.35
2025-07-11,24.61
2025-07-12,26.14
2025-07-13,28.45
2025-07-14,28.22
2025-07-15,28.96
2025-07-16,25.86
2025-07-17,25.16
2025-07-18,23.42
2025-07-19,26.41
2025-07-20,25.81
2025-07-21,26.87
2025-07-22,26.15
2025-07-23,25.8
2025-07-24,27.9
2025-07-25,28.55
2025-07-26,29.48
2025-07-27,28.65
2025-07-28,28.89
2025-07-29,26.64
2025-07-30,28.39
2025-07-31,29.55
2025-08-01,29.65
2025-08-02,29.24
2025-08-03,30.66
2025-08-04,32.06
2025-08-05,29.72
2025-08-06,29.72
2025-08-07,29.55
2025-08-08,27.56
2025-08-09,28.8
2025-08-10,30.29
2025-08-11,31.04
2025-08-12,31.58
2025-08-13,30.91
2025-08-14,29.7
2025-08-15,29.89
2025-08-16,30.47
2025-08-17,29.53
2025-08-18,29.89
2025-08-19,30.99
2025-08-20,31.24
2025-08-21,28.07
2025-08-22,27.8
2025-08-23,27.85
2025-08-24,27.88
2025-08-25,28.14
2025-08-26,27.69
2025-08-27,26.22
2025-08-28,28.54
2025-08-29,28.65
2025-08-30,27.99
2025-08-31,27.77
2025-09-01,26.54
2025-09-02,24.41
2025-09-03,27.36
2025-09-04,28.41
2025-09-05,25.28
2025-09-06,23.01
2025-09-07,26.79
2025-09-08,27.44
2025-09-09,29.15
2025-09-10,29.75
2025-09-11,28.75
2025-09-12,24.78
2025-09-13,25.7
2025-09-14,27.69
2025-09-15,26.35
2025-09-16,27.92
2025-09-17,29.09
2025-09-18,29.69
2025-09-19,29.11
2025-09-20,21.8
2025-09-21,18.83
2025-09-22,20.6
2025-09-23,20.23
2025-09-24,21.5
2025-09-25,24.38
2025-09-26,23.23
2025-09-27,23.08
2025-09-28,22.67
2025-09-29,23.75
2025-09-30,23.37
2025-10-01,15.69
2025-10-02,14.69
2025-10-03,16.36
2025-10-04,17.7
2025-10-05,18.0
2025-10-06,15.6
2025-10-07,16.85
2025-10-08,18.14
2025-10-09,19.51
2025-10-10,18.91
2025-10-11,18.55
2025-10-12,18.24
2025-10-13,19.4
2025-10-14,18.89
2025-10-15,18.34
2025-10-16,18.1
2025-10-17,20.4
2025-10-18,16.01
2025-10-19,14.89
2025-10-20,12.49
2025-10-21,15.58
2025-10-22,14.02
2025-10-23,10.91
2025-10-24,13.0
2025-10-25,15.88
2025-10-26,18.01
2025-10-27,15.37
2025-10-28,15.6
2025-10-29,14.46
2025-10-30,15.6
2025-10-31,16.44
2025-11-01,15.38
2025-11-02,18.31
2025-11-03,18.06
2025-11-04,11.71
2025-11-05,8.54
2025-11-06,6.72
2025-11-07,8.1
2025-11-08,10.86
2025-11-09,13.58
2025-11-10,13.86
2025-11-11,14.96
2025-11-12,13.12
2025-11-13,15.15
2025-11-14,14.69
2025-11-15,17.24
2025-11-16,14.55
2025-11-17,3.9
2025-11-18,2.4
2025-11-19,5.34
2025-11-20,6.59
2025-11-21,8.68
2025-11-22,5.35
2025-11-23,6.45
2025-11-24,7.58
2025-11-25,11.02
2025-11-26,2.2
2025-11-27,-1.81
2025-11-28,-1.1
2025-11-29,0.36
