date,daily_avg_temp
2025-01-01,1.5
2025-01-02,-1.75
2025-01-03,-2.76
2025-01-04,-0.39
2025-01-05,-0.2
2025-01-06,-3.08
2025-01-07,-3.89
2025-01-08,-6.94
2025-01-09,-12.8
2025-01-10,-7.76
2025-01-11,-6.14
2025-01-12,-3.79
2025-01-13,0.09
2025-01-14,-1.24
2025-01-15,-5.15
2025-01-16,-1.94
2025-01-17,-0.62
2025-01-18,0.9
2025-01-19,3.11
2025-01-20,2.0
2025-01-21,2.25
2025-01-22,1.75
2025-01-23,1.44
2025-01-24,3.88
2025-01-25,4.64
2025-01-26,3.41
2025-01-27,-2.78
2025-01-28,-5.38
2025-01-29,-5.39
2025-01-30,-2.88
2025-01-31,-1.35
2025-02-01,1.06
2025-02-02,1.06
2025-02-03,-7.25
2025-02-04,-9.91
2025-02-05,-9.21
2025-02-06,-5.12
2025-02-07,-10.2
2025-02-08,-7.78
2025-02-09,-4.44
2025-02-10,-2.69
2025-02-11,1.31
2025-02-12,-1.58
2025-02-13,1.35
2025-02-14,3.71
2025-02-15,3.76
2025-02-16,2.98
2025-02-17,-1.69
2025-02-18,-3.04
2025-02-19,-3.62
2025-02-20,-3.46
2025-02-21,-2.36
2025-02-22,-2.92
2025-02-23,-3.97
2025-02-24,-0.41
2025-02-25,2.94
2025-02-26,2.56
2025-02-27,6.82
2025-02-28,6.76
2025-03-01,8.89
2025-03-02,5.55
2025-03-03,2.14
2025-03-04,1.62
2025-03-05,3.5
2025-03-06,4.54
2025-03-07,5.52
2025-03-08,4.86
2025-03-09,6.5
2025-03-10,7.28
2025-03-11,9.44
2025-03-12,6.85
2025-03-13,9.38
2025-03-14,12.89
2025-03-15,10.19
2025-03-16,1.92
2025-03-17,1.88
2025-03-18,1.3
2025-03-19,2.84
2025-03-20,8.36
2025-03-21,11.02
2025-03-22,12.36
2025-03-23,16.28
2025-03-24,13.65
2025-03-25,10.34
2025-03-26,16.98
2025-03-27,9.8
2025-03-28,5.18
2025-03-29,1.84
2025-03-30,3.04
2025-03-31,7.34
2025-04-01,9.78
2025-04-02,7.71
2025-04-03,9.59
2025-04-04,10.36
2025-04-05,6.81
2025-04-06,9.31
2025-04-07,14.05
2025-04-08,12.59
2025-04-09,12.38
2025-04-10,12.5
2025-04-11,16.55
2025-04-12,9.21
2025-04-13,4.84
2025-04-14,4.01
2025-04-15,8.64
2025-04-16,16.74
2025-04-17,19.12
2025-04-18,17.56
2025-04-19,13.24
2025-04-20,17.4
2025-04-21,20.8
2025-04-22,14.71
2025-04-23,15.71
2025-04-24,13.39
2025-04-25,12.01
2025-04-26,14.34
2025-04-27,14.34
2025-04-28,14.27
2025-04-29,14.52
2025-04-30,19.51
2025-05-01,11.82
2025-05-02,12.79
2025-05-03,10.28
2025-05-04,13.34
2025-05-05,11.34
2025-05-06,14.16
2025-05-07,14.32
2025-05-08,18.01
2025-05-09,13.5
2025-05-10,11.49
2025-05-11,13.64
2025-05-12,17.69
2025-05-13,19.81
2025-05-14,21.38
2025-05-15,18.42
2025-05-16,18.54
2025-05-17,16.2
2025-05-18,15.02
2025-05-19,17.42
2025-05-20,23.11
2025-05-21,24.3
2025-05-22,22.0
2025-05-23,16.6
2025-05-24,14.42
2025-05-25,17.15
2025-05-26,19.54
2025-05-27,20.28
2025-05-28,19.91
2025-05-29,20.99
2025-05-30,21.49
2025-05-31,20.97
2025-06-01,22.45
2025-06-02,20.19
2025-06-03,19.3
2025-06-04,20.13
2025-06-05,21.75
2025-06-06,23.89
2025-06-07,22.49
2025-06-08,23.94
2025-06-09,23.24
2025-06-10,20.23
2025-06-11,22.08
2025-06-12,25.31
2025-06-13,22.51
2025-06-14,25.13
2025-06-15,24.71
2025-06-16,22.17
2025-06-17,23.84
2025-06-18,24.94
2025-06-19,27.66
2025-06-20,22.37
2025-06-21,20.88
2025-06-22,22.91
2025-06-23,26.61
2025-06-24,22.92
2025-06-25,19.81
2025-06-26,22.04
