date,daily_avg_temp
2025-01-01,1.85
2025-01-02,-1.1
2025-01-03,-2.15
2025-01-04,0.9
2025-01-05,0.65
2025-01-06,-2.5
2025-01-07,-3.59
2025-01-08,-6.51
2025-01-09,-12.4
2025-01-10,-7.54
2025-01-11,-5.89
2025-01-12,-3.65
2025-01-13,0.57
2025-01-14,-0.8
2025-01-15,-4.71
2025-01-16,-1.95
2025-01-17,-1.26
2025-01-18,0.96
2025-01-19,3.46
2025-01-20,1.1
2025-01-21,1.31
2025-01-22,0.9
2025-01-23,0.84
2025-01-24,3.18
2025-01-25,4.14
2025-01-26,2.89
2025-01-27,-3.64
2025-01-28,-6.38
2025-01-29,-6.34
2025-01-30,-3.65
2025-01-31,-2.22
2025-02-01,0.12
2025-02-02,0.16
2025-02-03,-8.12
2025-02-04,-11.12
2025-02-05,-10.4
2025-02-06,-5.45
2025-02-07,-11.84
2025-02-08,-8.85
2025-02-09,-5.21
2025-02-10,-3.78
2025-02-11,1.14
2025-02-12,-2.44
2025-02-13,0.66
2025-02-14,3.0
2025-02-15,2.76
2025-02-16,2.28
2025-02-17,-2.49
2025-02-18,-3.81
2025-02-19,-4.42
2025-02-20,-4.11
2025-02-21,-3.35
2025-02-22,-3.94
2025-02-23,-4.9
2025-02-24,-1.41
2025-02-25,2.01
2025-02-26,1.39
2025-02-27,6.36
2025-02-28,6.89
2025-03-01,8.99
2025-03-02,4.51
2025-03-03,1.54
2025-03-04,0.76
2025-03-05,3.01
2025-03-06,3.86
2025-03-07,5.18
2025-03-08,4.36
2025-03-09,6.11
2025-03-10,7.05
2025-03-11,9.15
2025-03-12,6.31
2025-03-13,8.2
2025-03-14,12.74
2025-03-15,10.46
2025-03-16,1.27
2025-03-17,1.49
2025-03-18,0.38
2025-03-19,2.29
2025-03-20,8.41
2025-03-21,10.79
2025-03-22,12.31
2025-03-23,16.19
2025-03-24,13.44
2025-03-25,10.14
2025-03-26,17.69
2025-03-27,9.28
2025-03-28,4.69
2025-03-29,1.59
2025-03-30,3.3
2025-03-31,7.34
2025-04-01,9.65
2025-04-02,7.92
2025-04-03,9.06
2025-04-04,10.15
2025-04-05,6.38
2025-04-06,8.93
2025-04-07,14.09
2025-04-08,11.83
2025-04-09,12.18
2025-04-10,12.1
2025-04-11,16.99
2025-04-12,8.72
2025-04-13,4.36
2025-04-14,3.54
2025-04-15,7.91
2025-04-16,17.01
2025-04-17,19.39
2025-04-18,17.39
2025-04-19,13.11
2025-04-20,17.41
2025-04-21,21.36
2025-04-22,15.14
2025-04-23,15.82
2025-04-24,13.17
2025-04-25,11.94
2025-04-26,13.95
2025-04-27,14.0
2025-04-28,14.1
2025-04-29,14.83
2025-04-30,19.88
2025-05-01,11.32
2025-05-02,12.63
2025-05-03,9.34
2025-05-04,13.15
2025-05-05,11.85
2025-05-06,13.92
2025-05-07,14.24
2025-05-08,19.0
2025-05-09,13.22
2025-05-10,10.39
2025-05-11,13.83
2025-05-12,18.12
2025-05-13,20.05
2025-05-14,21.65
2025-05-15,18.37
2025-05-16,18.54
2025-05-17,16.0
2025-05-18,15.0
2025-05-19,17.69
2025-05-20,23.7
2025-05-21,24.12
2025-05-22,22.55
2025-05-23,17.08
2025-05-24,14.44
2025-05-25,17.08
2025-05-26,19.59
2025-05-27,20.62
2025-05-28,20.57
2025-05-29,21.22
2025-05-30,21.82
2025-05-31,21.05
2025-06-01,22.84
2025-06-02,20.35
2025-06-03,19.41
2025-06-04,20.2
2025-06-05,22.27
2025-06-06,24.31
2025-06-07,23.4
2025-06-08,24.51
2025-06-09,23.4
2025-06-10,19.83
2025-06-11,22.38
2025-06-12,25.69
2025-06-13,22.72
2025-06-14,25.0
2025-06-15,25.33
2025-06-16,22.1
2025-06-17,24.45
2025-06-18,25.52
2025-06-19,28.18
2025-06-20,22.06
2025-06-21,20.15
2025-06-22,22.6
2025-06-23,27.19
2025-06-24,23.06
2025-06-25,19.76
2025-06-26,21.8
2025-06-27,26.07
2025-06-28,25.99
2025-06-29,26.9
2025-06-30,27.89
2025-07-01,27.96
2025-07-02,28.05
2025-07-03,27.26
2025-07-04,26.68
2025-07-05,27.96
2025-07-06,28.58
2025-07-07,19.42
2025-07-08,30.38
2025-07-09,31.68
2025-07-10,30.11
2025-07-11,29.75
2025-07-12,30.4
2025-07-13,26.22
2025-07-14,22.59
2025-07-15,23.53
2025-07-16,22.21
2025-07-17,22.75
2025-07-18,24.1
2025-07-19,24.05
2025-07-20,27.62
2025-07-21,28.1
2025-07-22,28.55
2025-07-23,29.16
2025-07-24,29.95
2025-07-25,32.06
2025-07-26,32.94
2025-07-27,32.89
2025-07-28,31.75
2025-07-29,32.39
2025-07-30,32.44
2025-07-31,30.52
2025-08-01,30.92
2025-08-02,30.76
2025-08-03,26.88
2025-08-04,27.65
2025-08-05,28.82
2025-08-06,26.09
2025-08-07,27.54
2025-08-08,27.44
2025-08-09,24.71
2025-08-10,28.02
2025-08-11,26.34
2025-08-12,28.62
2025-08-13,24.3
2025-08-14,24.75
2025-08-15,26.88
2025-08-16,27.76
2025-08-17,28.18
2025-08-18,28.35
2025-08-19,28.63
2025-08-20,28.8
2025-08-21,29.78
2025-08-22,29.36
2025-08-23,29.36
2025-08-24,30.19
2025-08-25,28.13
2025-08-26,26.44
2025-08-27,27.35
2025-08-28,28.25
2025-08-29,27.96
2025-08-30,28.03
2025-08-31,28.04
2025-09-01,25.25
2025-09-02,26.3
2025-09-03,27.65
2025-09-04,25.61
2025-09-05,28.32
2025-09-06,25.72
2025-09-07,24.32
2025-09-08,24.8
2025-09-09,23.36
2025-09-10,25.51
2025-09-11,26.57
2025-09-12,22.36
2025-09-13,23.25
2025-09-14,24.59
2025-09-15,26.18
2025-09-16,23.81
2025-09-17,12.4
2025-09-18,21.42
2025-09-19,18.08
2025-09-20,19.6
2025-09-21,21.48
2025-09-22,21.41
2025-09-23,22.89
2025-09-24,21.47
2025-09-25,21.8
2025-09-26,21.95
2025-09-27,23.11
2025-09-28,18.36
2025-09-29,19.46
2025-09-30,19.1
2025-10-01,20.33
2025-10-02,22.13
2025-10-03,20.76
2025-10-04,21.76
2025-10-05,20.73
2025-10-06,15.24
2025-10-07,17.4
2025-10-08,21.92
2025-10-09,18.36
2025-10-10,16.83
2025-10-11,19.93
2025-10-12,17.9
2025-10-13,13.91
2025-10-14,17.45
2025-10-15,19.56
2025-10-16,19.42
2025-10-17,19.06
2025-10-18,14.0
2025-10-19,11.6
2025-10-20,9.05
2025-10-21,9.02
2025-10-22,14.72
2025-10-23,15.18
2025-10-24,15.6
2025-10-25,13.58
2025-10-26,10.24
2025-10-27,6.66
2025-10-28,8.49
2025-10-29,11.12
2025-10-30,13.11
2025-10-31,14.09
2025-11-01,11.32
2025-11-02,5.0
2025-11-03,7.65
2025-11-04,9.88
2025-11-05,11.41
2025-11-06,12.25
2025-11-07,14.26
2025-11-08,13.74
2025-11-09,11.24
2025-11-10,6.64
2025-11-11,9.18
2025-11-12,10.01
2025-11-13,10.02
2025-11-14,8.43
2025-11-15,9.74
2025-11-16,10.61
2025-11-17,0.19
2025-11-18,0.69
2025-11-19,3.32
2025-11-20,5.94
2025-11-21,8.01
2025-11-22,9.46
2025-11-23,11.28
2025-11-24,10.64
2025-11-25,4.85
2025-11-26,5.44
2025-11-27,2.65
2025-11-28,1.88
2025-11-29,8.57
2025-11-30,10.34
2025-12-01,3.22
2025-12-02,-4.28
2025-12-03,-8.6
2025-12-04,-3.89
2025-12-05,-2.09
2025-12-06,4.24
2025-12-07,7.16
2025-12-08,1.08
2025-12-09,3.06
2025-12-10,5.46
2025-12-11,0.24
2025-12-12,3.09
2025-12-13,-0.28
2025-12-14,-1.27
2025-12-15,1.38
2025-12-16,2.82
2025-12-17,1.6
2025-12-18,2.12
2025-12-19,5.99
2025-12-20,3.26
2025-12-21,-3.29
2025-12-22,0.1
2025-12-23,1.51
2025-12-24,-0.28
2025-12-25,-7.86
2025-12-26,-8.34
2025-12-27,-2.02
2025-12-28,3.52
2025-12-29,1.8
2025-12-30,-2.46
2025-12-31,-8.75
