date,daily_avg_temp
2025-01-01,3.16
2025-01-02,0.54
2025-01-03,-0.64
2025-01-04,1.88
2025-01-05,2.28
2025-01-06,-0.55
2025-01-07,-1.44
2025-01-08,-4.35
2025-01-09,-9.89
2025-01-10,-5.79
2025-01-11,-3.75
2025-01-12,-1.86
2025-01-13,1.91
2025-01-14,0.86
2025-01-15,-2.79
2025-01-16,-0.04
2025-01-17,0.54
2025-01-18,2.08
2025-01-19,4.34
2025-01-20,3.18
2025-01-21,3.24
2025-01-22,2.49
2025-01-23,1.76
2025-01-24,3.54
2025-01-25,5.65
2025-01-26,4.51
2025-01-27,-1.36
2025-01-28,-4.01
2025-01-29,-4.26
2025-01-30,-1.79
2025-01-31,-0.32
2025-02-01,1.42
2025-02-02,1.76
2025-02-03,-6.15
2025-02-04,-9.0
2025-02-05,-7.84
2025-02-06,-3.66
2025-02-07,-9.19
2025-02-08,-6.55
2025-02-09,-3.32
2025-02-10,-1.32
2025-02-11,2.33
2025-02-12,-0.34
2025-02-13,2.38
2025-02-14,4.62
2025-02-15,4.47
2025-02-16,3.92
2025-02-17,-0.76
2025-02-18,-1.78
2025-02-19,-2.55
2025-02-20,-2.39
2025-02-21,-1.69
2025-02-22,-2.29
2025-02-23,-3.0
2025-02-24,0.71
2025-02-25,4.15
2025-02-26,3.35
2025-02-27,7.02
2025-02-28,6.96
2025-03-01,8.96
2025-03-02,6.26
2025-03-03,3.25
2025-03-04,2.91
2025-03-05,4.62
2025-03-06,5.26
2025-03-07,6.21
2025-03-08,5.75
2025-03-09,6.92
2025-03-10,7.95
2025-03-11,9.82
2025-03-12,7.78
2025-03-13,9.15
2025-03-14,13.25
2025-03-15,11.1
2025-03-16,3.06
2025-03-17,3.04
2025-03-18,2.33
2025-03-19,3.96
2025-03-20,9.76
2025-03-21,12.0
2025-03-22,13.69
2025-03-23,16.41
2025-03-24,14.64
2025-03-25,11.79
2025-03-26,16.91
2025-03-27,10.2
2025-03-28,6.32
2025-03-29,3.28
2025-03-30,5.34
2025-03-31,8.99
2025-04-01,10.44
2025-04-02,9.26
2025-04-03,10.38
2025-04-04,11.41
2025-04-05,8.0
2025-04-06,10.84
2025-04-07,15.1
2025-04-08,13.46
2025-04-09,13.26
2025-04-10,13.33
2025-04-11,17.23
2025-04-12,10.05
2025-04-13,6.38
2025-04-14,5.8
2025-04-15,9.75
2025-04-16,17.56
2025-04-17,20.11
2025-04-18,17.87
2025-04-19,14.21
2025-04-20,18.05
2025-04-21,21.62
2025-04-22,16.09
2025-04-23,16.67
2025-04-24,14.68
2025-04-25,13.49
2025-04-26,15.42
2025-04-27,15.59
2025-04-28,15.21
2025-04-29,16.36
2025-04-30,20.67
2025-05-01,13.08
2025-05-02,14.12
2025-05-03,11.5
2025-05-04,15.11
2025-05-05,13.26
2025-05-06,15.49
2025-05-07,15.76
2025-05-08,19.26
2025-05-09,14.82
2025-05-10,12.55
2025-05-11,15.08
2025-05-12,19.14
2025-05-13,21.37
2025-05-14,22.25
2025-05-15,19.36
2025-05-16,19.34
2025-05-17,17.32
2025-05-18,16.35
2025-05-19,18.78
2025-05-20,23.87
2025-05-21,24.42
2025-05-22,22.76
2025-05-23,18.28
2025-05-24,15.94
2025-05-25,18.64
2025-05-26,20.34
2025-05-27,21.0
