date,daily_avg_temp
2026-01-01,-7.96
2026-01-02,-8.59
2026-01-03,-3.31
2026-01-04,-0.49
2026-01-05,-3.22
2026-01-06,0.48
2026-01-07,-3.0
2026-01-08,-6.19
2026-01-09,1.49
2026-01-10,-2.17
2026-01-11,-7.78
2026-01-12,-1.8
2026-01-13,-6.52
2026-01-14,-0.72
2026-01-15,2.89
2026-01-16,2.91
2026-01-17,-1.02
2026-01-18,0.59
2026-01-19,-6.72
2026-01-20,-8.54
2026-01-21,-10.25
2026-01-22,-9.3
2026-01-23,-4.31
2026-01-24,-5.98
2026-01-25,-6.84
2026-01-26,-3.76
2026-01-27,-5.44
2026-01-28,-5.4
2026-01-29,-5.26
2026-01-30,-7.0
2026-01-31,-3.6
2026-02-01,-1.9
2026-02-02,-4.01
2026-02-03,-0.19
2026-02-04,1.9
2026-02-05,0.88
2026-02-06,-7.09
2026-02-07,-8.76
2026-02-08,-8.36
2026-02-09,-1.8
2026-02-10,0.95
2026-02-11,0.56
2026-02-12,3.1
2026-02-13,4.08
2026-02-14,7.1
2026-02-15,4.05
2026-02-16,1.17
2026-02-17,2.54
2026-02-18,1.44
2026-02-19,1.68
2026-02-20,5.61
2026-02-21,11.92
2026-02-22,3.94
2026-02-23,2.12
2026-02-24,0.98
2026-02-25,6.14
2026-02-26,7.4
2026-02-27,6.02
2026-02-28,8.22
2026-03-01,8.91
2026-03-02,3.54
2026-03-03,4.82
2026-03-04,5.49
2026-03-05,5.29
2026-03-06,0.55
2026-03-07,-0.06
2026-03-08,3.36
2026-03-09,2.88
2026-03-10,2.99
2026-03-11,3.89
2026-03-12,6.45
2026-03-13,6.52
2026-03-14,7.99
2026-03-15,5.26
2026-03-16,6.42
2026-03-17,9.09
2026-03-18,4.79
2026-03-19,6.4
2026-03-20,5.96
2026-03-21,8.0
2026-03-22,9.85
2026-03-23,11.6
2026-03-24,11.82
2026-03-25,11.65
2026-03-26,11.52
2026-03-27,10.74
2026-03-28,11.88
2026-03-29,13.52
2026-03-30,14.89
2026-03-31,12.8
2026-04-01,11.42
2026-04-02,10.99
2026-04-03,15.79
2026-04-04,12.32
2026-04-05,11.47
2026-04-06,8.06
2026-04-07,7.14
2026-04-08,10.32
2026-04-09,10.69
2026-04-10,9.64
2026-04-11,9.74
2026-04-12,15.03
2026-04-13,18.46
2026-04-14,18.94
2026-04-15,17.92
2026-04-16,18.62
2026-04-17,14.94
2026-04-18,18.92
2026-04-19,20.05
2026-04-20,10.12
2026-04-21,12.08
2026-04-22,13.2
2026-04-23,15.16
2026-04-24,16.39
2026-04-25,16.09
2026-04-26,17.16
2026-04-27,15.05
2026-04-28,11.3
2026-04-29,14.11
2026-04-30,17.56
