date,daily_avg_temp
2026-01-01,-7.94
2026-01-02,-7.89
2026-01-03,-2.74
2026-01-04,-0.34
2026-01-05,-2.84
2026-01-06,0.81
2026-01-07,-3.28
2026-01-08,-5.08
2026-01-09,2.56
2026-01-10,-2.59
2026-01-11,-7.5
2026-01-12,-1.79
2026-01-13,-6.1
2026-01-14,-0.59
2026-01-15,3.45
2026-01-16,2.76
2026-01-17,-0.5
2026-01-18,0.42
2026-01-19,-7.04
2026-01-20,-8.54
2026-01-21,-10.4
2026-01-22,-9.1
2026-01-23,-4.32
2026-01-24,-5.99
2026-01-25,-6.12
2026-01-26,-3.97
2026-01-27,-5.34
2026-01-28,-5.06
2026-01-29,-5.51
2026-01-30,-6.35
2026-01-31,-3.45
2026-02-01,-1.91
2026-02-02,-3.3
2026-02-03,0.24
2026-02-04,2.71
2026-02-05,0.74
2026-02-06,-6.84
2026-02-07,-8.95
2026-02-08,-7.82
2026-02-09,-1.52
2026-02-10,1.3
2026-02-11,1.16
2026-02-12,3.54
2026-02-13,5.0
2026-02-14,7.81
2026-02-15,3.98
2026-02-16,1.83
2026-02-17,2.17
2026-02-18,1.58
2026-02-19,1.99
2026-02-20,6.98
2026-02-21,12.34
2026-02-22,3.96
2026-02-23,1.82
2026-02-24,2.02
2026-02-25,7.76
2026-02-26,8.16
2026-02-27,7.24
2026-02-28,8.88
2026-03-01,8.1
2026-03-02,2.89
2026-03-03,4.51
2026-03-04,5.78
2026-03-05,4.68
2026-03-06,0.41
2026-03-07,0.04
2026-03-08,2.82
2026-03-09,3.16
2026-03-10,3.32
2026-03-11,4.4
2026-03-12,6.72
2026-03-13,7.05
2026-03-14,7.7
2026-03-15,5.54
2026-03-16,6.98
2026-03-17,9.14
2026-03-18,4.68
2026-03-19,5.85
2026-03-20,6.75
2026-03-21,8.64
2026-03-22,10.24
2026-03-23,12.26
2026-03-24,12.11
2026-03-25,11.51
2026-03-26,11.35
2026-03-27,10.58
2026-03-28,12.18
2026-03-29,13.7
2026-03-30,14.64
2026-03-31,13.06
2026-04-01,11.45
2026-04-02,10.95
2026-04-03,15.05
2026-04-04,11.85
2026-04-05,11.15
2026-04-06,8.26
2026-04-07,7.45
2026-04-08,10.45
2026-04-09,10.32
2026-04-10,8.75
2026-04-11,9.78
2026-04-12,15.74
2026-04-13,19.26
2026-04-14,19.45
2026-04-15,18.56
2026-04-16,19.46
2026-04-17,15.12
2026-04-18,19.38
2026-04-19,20.46
2026-04-20,10.58
2026-04-21,12.02
2026-04-22,13.55
2026-04-23,16.01
2026-04-24,17.44
2026-04-25,17.16
2026-04-26,17.56
2026-04-27,14.74
2026-04-28,11.66
2026-04-29,14.61
2026-04-30,17.08
