date,daily_avg_temp
2026-01-01,-6.88
2026-01-02,-6.39
2026-01-03,-1.34
2026-01-04,0.7
2026-01-05,-1.95
2026-01-06,1.88
2026-01-07,-1.85
2026-01-08,-3.44
2026-01-09,4.49
2026-01-10,-1.41
2026-01-11,-5.84
2026-01-12,-0.06
2026-01-13,-4.26
2026-01-14,0.74
2026-01-15,4.51
2026-01-16,3.24
2026-01-17,-0.19
2026-01-18,0.71
2026-01-19,-6.34
2026-01-20,-7.89
2026-01-21,-9.19
2026-01-22,-7.21
2026-01-23,-3.41
2026-01-24,-4.62
2026-01-25,-4.79
2026-01-26,-2.8
2026-01-27,-4.36
2026-01-28,-4.2
2026-01-29,-4.47
2026-01-30,-5.45
2026-01-31,-2.16
2026-02-01,-0.91
2026-02-02,-2.29
2026-02-03,1.79
2026-02-04,4.36
2026-02-05,1.31
2026-02-06,-6.85
2026-02-07,-7.96
2026-02-08,-6.78
2026-02-09,-0.04
2026-02-10,2.5
2026-02-11,2.05
2026-02-12,4.75
2026-02-13,6.56
2026-02-14,8.66
2026-02-15,4.5
2026-02-16,2.32
2026-02-17,2.5
2026-02-18,2.68
2026-02-19,3.34
2026-02-20,8.34
2026-02-21,13.15
2026-02-22,4.97
2026-02-23,2.72
2026-02-24,2.9
2026-02-25,9.26
2026-02-26,9.2
2026-02-27,8.79
2026-02-28,10.21
2026-03-01,9.24
2026-03-02,3.79
2026-03-03,6.14
2026-03-04,6.49
2026-03-05,5.66
2026-03-06,1.6
2026-03-07,1.48
2026-03-08,3.75
2026-03-09,4.59
2026-03-10,4.85
2026-03-11,5.14
2026-03-12,8.2
2026-03-13,8.45
2026-03-14,8.45
2026-03-15,6.2
2026-03-16,7.62
2026-03-17,9.94
2026-03-18,5.8
2026-03-19,6.56
2026-03-20,7.49
2026-03-21,9.44
2026-03-22,11.09
2026-03-23,12.69
2026-03-24,12.87
2026-03-25,11.78
2026-03-26,11.11
2026-03-27,10.84
2026-03-28,12.29
2026-03-29,14.74
2026-03-30,15.37
2026-03-31,14.66
2026-04-01,11.79
2026-04-02,11.15
2026-04-03,15.88
2026-04-04,11.71
2026-04-05,11.51
2026-04-06,9.44
2026-04-07,8.55
2026-04-08,11.88
2026-04-09,11.09
2026-04-10,9.61
2026-04-11,10.44
2026-04-12,16.19
2026-04-13,19.66
2026-04-14,20.14
2026-04-15,19.49
2026-04-16,20.34
2026-04-17,15.71
2026-04-18,19.67
2026-04-19,20.36
2026-04-20,11.65
2026-04-21,12.8
2026-04-22,14.84
2026-04-23,18.04
2026-04-24,18.46
2026-04-25,18.29
2026-04-26,18.01
2026-04-27,14.88
2026-04-28,13.25
2026-04-29,15.68
2026-04-30,17.43
