date,daily_avg_temp
2026-01-01,-7.14
2026-01-02,-6.94
2026-01-03,-1.65
2026-01-04,0.71
2026-01-05,-2.24
2026-01-06,1.86
2026-01-07,-2.08
2026-01-08,-3.81
2026-01-09,4.31
2026-01-10,-1.39
2026-01-11,-6.26
2026-01-12,0.15
2026-01-13,-4.47
2026-01-14,0.79
2026-01-15,4.6
2026-01-16,3.56
2026-01-17,0.26
2026-01-18,1.14
2026-01-19,-6.38
2026-01-20,-8.21
2026-01-21,-9.24
2026-01-22,-7.35
2026-01-23,-3.55
2026-01-24,-4.99
2026-01-25,-5.35
2026-01-26,-2.99
2026-01-27,-4.66
2026-01-28,-4.2
2026-01-29,-4.55
2026-01-30,-5.58
2026-01-31,-2.42
2026-02-01,-1.02
2026-02-02,-2.46
2026-02-03,1.44
2026-02-04,4.2
2026-02-05,1.41
2026-02-06,-6.95
2026-02-07,-8.18
2026-02-08,-7.26
2026-02-09,-0.18
2026-02-10,2.65
2026-02-11,1.48
2026-02-12,4.46
2026-02-13,6.22
2026-02-14,8.81
2026-02-15,4.39
2026-02-16,2.14
2026-02-17,2.46
2026-02-18,2.1
2026-02-19,2.8
2026-02-20,8.7
2026-02-21,13.34
2026-02-22,4.64
2026-02-23,2.82
2026-02-24,3.36
2026-02-25,8.92
2026-02-26,9.35
2026-02-27,9.12
2026-02-28,10.16
2026-03-01,9.26
2026-03-02,3.79
2026-03-03,6.49
2026-03-04,6.25
2026-03-05,5.49
2026-03-06,1.5
2026-03-07,1.36
2026-03-08,3.49
2026-03-09,4.38
2026-03-10,4.42
2026-03-11,5.29
2026-03-12,8.26
2026-03-13,8.35
2026-03-14,8.32
2026-03-15,5.76
2026-03-16,7.58
2026-03-17,9.84
2026-03-18,5.72
2026-03-19,6.29
2026-03-20,6.86
2026-03-21,9.19
2026-03-22,11.09
2026-03-23,12.61
2026-03-24,13.14
2026-03-25,11.39
2026-03-26,10.55
2026-03-27,10.25
2026-03-28,11.93
2026-03-29,14.77
2026-03-30,15.28
2026-03-31,14.78
2026-04-01,11.55
2026-04-02,10.8
2026-04-03,15.69
2026-04-04,11.35
2026-04-05,11.4
2026-04-06,9.55
2026-04-07,7.9
2026-04-08,11.52
2026-04-09,11.01
2026-04-10,8.76
2026-04-11,9.8
2026-04-12,15.81
2026-04-13,20.06
2026-04-14,20.2
2026-04-15,19.41
2026-04-16,20.88
2026-04-17,15.42
2026-04-18,19.86
2026-04-19,20.71
2026-04-20,11.06
2026-04-21,12.72
2026-04-22,15.12
2026-04-23,17.89
2026-04-24,18.24
2026-04-25,18.66
2026-04-26,18.2
2026-04-27,14.86
2026-04-28,12.64
2026-04-29,15.29
2026-04-30,17.32
