date,daily_avg_temp
2026-01-01,-7.18
2026-01-02,-6.65
2026-01-03,-1.24
2026-01-04,0.56
2026-01-05,-1.9
2026-01-06,1.92
2026-01-07,-2.08
2026-01-08,-3.56
2026-01-09,4.47
2026-01-10,-1.24
2026-01-11,-5.99
2026-01-12,-0.08
2026-01-13,-4.49
2026-01-14,0.39
2026-01-15,4.21
2026-01-16,3.15
2026-01-17,-0.45
2026-01-18,0.77
2026-01-19,-6.46
2026-01-20,-8.26
2026-01-21,-9.45
2026-01-22,-7.29
2026-01-23,-3.36
2026-01-24,-4.85
2026-01-25,-4.84
2026-01-26,-2.88
2026-01-27,-4.59
2026-01-28,-4.09
2026-01-29,-4.58
2026-01-30,-5.62
2026-01-31,-2.39
2026-02-01,-0.98
2026-02-02,-2.42
2026-02-03,1.51
2026-02-04,4.12
2026-02-05,1.42
2026-02-06,-7.09
2026-02-07,-8.25
2026-02-08,-6.88
2026-02-09,-0.33
2026-02-10,2.36
2026-02-11,2.1
2026-02-12,4.72
2026-02-13,5.8
2026-02-14,8.01
2026-02-15,4.36
2026-02-16,1.98
2026-02-17,2.61
2026-02-18,2.56
2026-02-19,3.66
2026-02-20,8.21
2026-02-21,13.64
2026-02-22,5.32
2026-02-23,2.69
2026-02-24,3.31
2026-02-25,8.39
2026-02-26,9.0
2026-02-27,8.6
2026-02-28,9.72
2026-03-01,9.18
2026-03-02,4.22
2026-03-03,6.09
2026-03-04,6.49
2026-03-05,5.6
2026-03-06,1.69
2026-03-07,1.54
2026-03-08,3.79
2026-03-09,4.44
2026-03-10,5.26
2026-03-11,5.08
2026-03-12,8.24
2026-03-13,8.26
2026-03-14,8.51
2026-03-15,6.59
2026-03-16,7.74
2026-03-17,9.85
2026-03-18,5.9
2026-03-19,6.79
2026-03-20,7.84
2026-03-21,10.02
2026-03-22,10.96
2026-03-23,12.75
2026-03-24,13.1
2026-03-25,12.18
2026-03-26,11.24
2026-03-27,11.2
2026-03-28,12.3
2026-03-29,14.59
2026-03-30,15.39
2026-03-31,14.72
2026-04-01,12.35
2026-04-02,11.91
2026-04-03,16.12
2026-04-04,11.9
2026-04-05,12.1
2026-04-06,9.79
2026-04-07,8.66
2026-04-08,12.28
2026-04-09,11.49
2026-04-10,9.71
2026-04-11,11.14
2026-04-12,15.98
2026-04-13,19.77
2026-04-14,20.01
2026-04-15,19.43
2026-04-16,19.86
2026-04-17,16.61
2026-04-18,19.49
2026-04-19,20.66
2026-04-20,12.25
2026-04-21,13.49
2026-04-22,15.06
2026-04-23,17.56
2026-04-24,18.26
2026-04-25,18.51
2026-04-26,18.28
2026-04-27,15.49
2026-04-28,13.51
2026-04-29,16.06
2026-04-30,17.71
