date,daily_avg_temp
2026-01-01,-9.62
2026-01-02,-9.14
2026-01-03,-3.4
2026-01-04,-1.1
2026-01-05,-4.22
2026-01-06,0.49
2026-01-07,-3.99
2026-01-08,-6.28
2026-01-09,2.52
2026-01-10,-3.65
2026-01-11,-8.62
2026-01-12,-1.44
2026-01-13,-6.71
2026-01-14,-1.08
2026-01-15,2.79
2026-01-16,2.0
2026-01-17,-1.74
2026-01-18,-0.98
2026-01-19,-8.71
2026-01-20,-10.39
2026-01-21,-11.8
2026-01-22,-9.96
2026-01-23,-5.11
2026-01-24,-7.01
2026-01-25,-7.41
2026-01-26,-4.75
2026-01-27,-6.65
2026-01-28,-6.55
2026-01-29,-6.72
2026-01-30,-7.74
2026-01-31,-4.32
2026-02-01,-2.81
2026-02-02,-4.49
2026-02-03,0.15
2026-02-04,2.34
2026-02-05,-0.48
2026-02-06,-9.12
2026-02-07,-10.69
2026-02-08,-9.52
2026-02-09,-1.85
2026-02-10,0.95
2026-02-11,-0.38
2026-02-12,3.16
2026-02-13,4.58
2026-02-14,7.35
2026-02-15,2.9
2026-02-16,0.62
2026-02-17,1.08
2026-02-18,0.46
2026-02-19,1.56
2026-02-20,7.31
2026-02-21,12.2
2026-02-22,3.06
2026-02-23,1.06
2026-02-24,1.49
2026-02-25,7.44
2026-02-26,8.02
2026-02-27,7.62
2026-02-28,8.93
2026-03-01,7.7
2026-03-02,1.86
2026-03-03,4.64
2026-03-04,4.85
2026-03-05,4.16
2026-03-06,-0.57
2026-03-07,-0.68
2026-03-08,2.01
2026-03-09,2.52
2026-03-10,3.04
2026-03-11,3.68
2026-03-12,6.74
2026-03-13,6.69
2026-03-14,7.34
2026-03-15,4.44
2026-03-16,6.24
2026-03-17,8.96
2026-03-18,3.98
2026-03-19,4.95
2026-03-20,5.5
2026-03-21,8.12
2026-03-22,9.85
2026-03-23,11.78
2026-03-24,12.32
2026-03-25,10.71
2026-03-26,10.04
2026-03-27,9.79
2026-03-28,10.96
2026-03-29,13.62
2026-03-30,14.39
2026-03-31,13.7
2026-04-01,3.93
2026-04-02,3.6
2026-04-03,8.93
2026-04-04,6.61
2026-04-05,5.72
2026-04-06,5.4
2026-04-07,3.05
2026-04-08,4.96
2026-04-09,7.32
2026-04-10,3.82
2026-04-11,3.14
2026-04-12,9.25
2026-04-13,10.45
2026-04-14,12.52
2026-04-15,13.32
2026-04-16,13.77
2026-04-17,9.28
2026-04-18,12.59
2026-04-19,10.35
2026-04-20,3.11
2026-04-21,3.74
2026-04-22,5.95
2026-04-23,9.44
2026-04-24,9.4
2026-04-25,9.37
2026-04-26,10.0
2026-04-27,7.19
2026-04-28,5.61
2026-04-29,7.28
2026-04-30,8.55
2026-04-31,-4.32
